,Time (d),COD_meas_Pearson (gCOD/m3),COD_pred_Pearson (gCOD/m3)
167,490.70833330000005,39.56561599700001,39.80329
168,490.7291667,39.587681335999996,39.840908
169,490.75,39.604202698,39.88127
170,490.77083330000005,39.636663870999996,39.924164
171,490.7916667,39.713192858,39.986107
172,490.8125,39.866067118000004,40.086792
173,490.83333330000005,40.078802126999996,40.2513
174,490.8541667,40.270835838,40.46869
175,490.875,40.392082681,40.66851
176,490.89583330000005,40.451948079,40.802433
177,490.9166667,40.480247023000004,40.876507
178,490.9375,40.50262270100001,40.916794
179,490.95833330000005,40.533460506,40.946735
180,490.9791667,40.57953302,40.980682
181,491.0,40.638273162,41.02657
182,491.02083330000005,40.699852956,41.083916
183,491.0416667,40.76118176,41.144627
184,491.0625,40.830763703,41.20497
185,491.08333330000005,40.917273335,41.271564
186,491.1041667,41.022384851,41.352467
187,491.125,41.139575522,41.449997
188,491.14583330000005,41.253277019,41.56006
189,491.1666667,41.35294229,41.669212
190,491.1875,41.43760903399999,41.767307
191,491.20833330000005,41.51711297700001,41.85265
192,491.2291667,41.610850219,41.933056
193,491.25,41.72537305200001,42.02617
194,491.27083330000005,41.844851616,42.139874
195,491.2916667,41.952991645,42.26053
196,491.3125,42.04740167200001,42.372635
197,491.33333330000005,42.141648323000005,42.473763
198,491.3541667,42.262492482,42.57822
199,491.375,42.42964511699999,42.714943
200,491.39583330000005,42.645237465,42.91239
201,491.4166667,42.89510484,43.18365
202,491.4375,43.15420924,43.50745
203,491.45833330000005,43.401123455,43.839615
204,491.4791667,43.623805518000005,44.142128
205,491.5,43.821255466999986,44.394943
206,491.52083330000005,43.999104591000005,44.601093
207,491.5416667,44.16392927099999,44.775536
208,491.5625,44.320389369,44.933064
209,491.58333330000005,44.47587582999999,45.08279
210,491.6041667,44.642943662,45.23307
211,491.625,44.82058562899999,45.396046
212,491.64583330000005,44.985908034000005,45.571877
213,491.6666667,45.136386806000004,45.73884
214,491.6875,45.311265036,45.89134
215,491.70833330000005,45.530044421999996,46.064247
216,491.7291667,45.75677115,46.279995
217,491.75,45.96673931,46.50839
218,491.77083330000005,46.190058266,46.724743
219,491.7916667,46.449045565,46.955173
220,491.8125,46.721016706,47.218594
221,491.83333330000005,46.979078429,47.49169
222,491.8541667,47.218827593,47.747795
223,491.875,47.445621946,47.982315
224,491.89583330000005,47.660302828999995,48.2006
225,491.9166667,47.85424125,48.404106
226,491.9375,48.010068798999995,48.586525
227,491.95833330000005,48.13286302,48.733543
228,491.9791667,48.257280003999995,48.849384
229,492.0,48.410755043,48.964256
230,492.02083330000005,48.601632501000005,49.102604
231,492.0416667,48.818691811,49.27238
232,492.0625,49.037845283,49.464405
233,492.08333330000005,49.23782071200001,49.657635
234,492.1041667,49.397352305,49.833874
235,492.125,49.524366054000005,49.974617
236,492.14583330000005,49.660382244,50.085857
237,492.1666667,49.82076332,50.203266
238,492.1875,49.97549371,50.34145
239,492.20833330000005,50.109168191,50.475243
240,492.2291667,50.248712684,50.59058
241,492.25,50.411682717000005,50.71027
242,492.27083330000005,50.582196843999995,50.849903
243,492.2916667,50.74797399,50.995934
244,492.3125,50.91969902,51.13737
245,492.33333330000005,51.10858712499999,51.283295
246,492.3541667,51.319783896000004,51.443626
247,492.375,51.56273755800001,51.623394
248,492.39583330000005,51.85977366,51.835995
249,492.4166667,52.185984625,52.10756
250,492.4375,52.456055426999995,52.413746
251,492.45833330000005,52.644611435,52.672726
252,492.4791667,52.802652513999995,52.855865
253,492.5,52.97157893600001,53.0045
254,492.52083330000005,53.157293034,53.156673
255,492.5416667,53.345810003999986,53.321247
256,492.5625,53.51991225500001,53.488487
257,492.58333330000005,53.667878969,53.643894
258,492.6041667,53.785308293,53.77674
259,492.625,53.88129130900001,53.88264
260,492.64583330000005,53.974683967,53.96937
261,492.6666667,54.072026680000015,54.053864
262,492.6875,54.162289151,54.141705
263,492.70833330000005,54.24452486600001,54.22222
264,492.7291667,54.334981603,54.29462
265,492.75,54.478030198,54.374554
266,492.77083330000005,54.74939066399999,54.504498
267,492.7916667,55.113697381,54.757317
268,492.8125,55.42163987799999,55.101875
269,492.83333330000005,55.638209162,55.395916
270,492.8541667,55.84553658300001,55.603474
271,492.875,56.06072790699999,55.80277
272,492.89583330000005,56.225891615,56.010277
273,492.9166667,56.350169646,56.168995
274,492.9375,56.501723036,56.287567
275,492.95833330000005,56.68722307,56.433315
276,492.9791667,56.863993217,56.61293
277,493.0,57.006203899,56.783676
278,493.02083330000005,57.104547215,56.919205
279,493.0416667,57.16376934299999,57.009747
280,493.0625,57.189483437,57.05984
281,493.08333330000005,57.180290066000005,57.074947
282,493.1041667,57.130383583000004,57.053375
283,493.125,57.059560319999996,56.989204
284,493.14583330000005,56.999564456,56.902546
285,493.1666667,56.95799703,56.82536
286,493.1875,56.931231415,56.765076
287,493.20833330000005,56.897477406000014,56.717888
288,493.2291667,56.828893402,56.661995
289,493.25,56.719118077000005,56.569958
290,493.27083330000005,56.572511819,56.43623
291,493.2916667,56.445648186000014,56.26592
292,493.3125,56.416636477000004,56.11491
293,493.33333330000005,56.46717407899999,56.059525
294,493.3541667,56.539953405000006,56.082203
295,493.375,56.591222176,56.131058
296,493.39583330000005,56.57789667899999,56.17737
297,493.4166667,56.526750164000006,56.19022
298,493.4375,56.483157585,56.188545
299,493.45833330000005,56.384283495,56.203693
300,493.4791667,56.143971608,56.166378
301,493.5,55.822767782,55.991497
302,493.52083330000005,55.508201756999995,55.737858
303,493.5416667,55.225923634,55.486393
304,493.5625,54.978824381,55.2583
305,493.58333330000005,54.76173274,55.055794
306,493.6041667,54.569477881000005,54.875687
307,493.625,54.38449444399999,54.715454
308,493.64583330000005,54.193513562999996,54.560776
309,493.6666667,54.04089540199999,54.40054
310,493.6875,53.975197081999994,54.274868
311,493.70833330000005,53.91282617900001,54.22732
312,493.7291667,53.756372645,54.18382
313,493.75,53.528322189,54.059128
314,493.77083330000005,53.275313461,53.87476
315,493.7916667,53.07304799600001,53.668846
316,493.8125,52.98502553,53.502106
317,493.83333330000005,52.967638099,53.42761
318,493.8541667,52.963292251999995,53.41065
319,493.875,52.956715364,53.406384
320,493.89583330000005,52.947981903999995,53.40425
321,493.9166667,52.943246548999994,53.403625
322,493.9375,52.944820745,53.40771
323,493.95833330000005,52.97721405,53.41619
324,493.9791667,53.059142005,53.44902
325,494.0,53.166708136000004,53.522507
326,494.02083330000005,53.27107397499999,53.616936
327,494.0416667,53.336694946,53.708443
328,494.0625,53.335280839,53.765778
329,494.08333330000005,53.310046338,53.76247
330,494.1041667,53.30638911899999,53.735405
331,494.125,53.298674712,53.723732
332,494.14583330000005,53.25012481600001,53.70417
333,494.1666667,53.145974625,53.644215
334,494.1875,52.98074221000001,53.530796
335,494.20833330000005,52.77200968,53.358265
336,494.2291667,52.536028738,53.141304
337,494.25,52.27932933,52.893204
338,494.27083330000005,52.006544286,52.61885
339,494.2916667,51.754298906,52.32203
340,494.3125,51.55953110200001,52.035324
341,494.33333330000005,51.366037713000004,51.792606
342,494.3541667,51.114085038999995,51.547638
