,Time (d),NH4_meas_PCA (gNm3),NH4_pred_PCA (gN/m3)
1504,518.5625,0.620016376,0.6402572
1505,518.5833333,0.623662511,0.64224124
1506,518.6041667,0.629214022,0.64639837
1507,518.625,0.636258394,0.6524775
1508,518.6458333,0.644166577,0.6598234
1509,518.6666667,0.6523335729999999,0.667675
1510,518.6875,0.660328847,0.6752608
1511,518.7083333,0.6679000310000001,0.6820008
1512,518.7291667,0.6749213190000001,0.6874487
1513,518.75,0.681352005,0.69129056
1514,518.7708333,0.687155396,0.6943545
1515,518.7916667,0.6922775059999999,0.6980683
1516,518.8125,0.69666313,0.70298743
1517,518.8333333,0.7002621,0.7088515
1518,518.8541667,0.7030980520000001,0.7147201
1519,518.875,0.705338809,0.71949095
1520,518.8958333,0.70730652,0.72278345
1521,518.9166667,0.709457165,0.72498184
1522,518.9375,0.712314853,0.7270202
1523,518.9583333,0.716346693,0.7299653
1524,518.9791667,0.721831028,0.7345828
1525,519.0,0.728713823,0.7412478
1526,519.0208333,0.736557921,0.74934
1527,519.0416667,0.744781135,0.7574991
1528,519.0625,0.752926346,0.76501435
1529,519.0833333,0.7607450259999999,0.7719695
1530,519.1041667,0.7681618270000001,0.77851295
1531,519.125,0.7751680270000001,0.78459346
1532,519.1458333,0.781683731,0.7902072
1533,519.1666667,0.787471024,0.79539996
1534,519.1875,0.7921543909999998,0.8000356
1535,519.2083333,0.795328371,0.80378854
1536,519.2291667,0.796618378,0.8065776
1537,519.25,0.7957055579999999,0.8085625
1538,519.2708333,0.7924249400000001,0.8092819
1539,519.2916667,0.7868389680000001,0.80777454
1540,519.3125,0.7790871949999999,0.8034172
1541,519.3333333,0.76939836,0.79604155
1542,519.3541667,0.758103932,0.7842726
1543,519.375,0.745578378,0.7665865
1544,519.3958333,0.732094805,0.74647105
1545,519.4166667,0.718036102,0.72988033
1546,519.4375,0.703978153,0.7189705
1547,519.4583333,0.6904428029999999,0.712199
1548,519.4791667,0.677845675,0.7068697
1549,519.5,0.666638226,0.70113504
1550,519.5208333,0.657355285,0.6946972
1551,519.5416667,0.650472662,0.6882443
1552,519.5625,0.646305713,0.68290377
1553,519.5833333,0.644952771,0.67973095
1554,519.6041667,0.646303795,0.67944425
1555,519.625,0.650000342,0.6824097
1556,519.6458333,0.655346816,0.6880317
1557,519.6666667,0.661506308,0.6947977
1558,519.6875,0.667799528,0.70126647
1559,519.7083333,0.673842563,0.7066242
1560,519.7291667,0.679550887,0.7105068
1561,519.75,0.685023185,0.7128543
1562,519.7708333,0.690375328,0.714523
1563,519.7916667,0.6956699759999999,0.7165219
1564,519.8125,0.700914417,0.71953607
1565,519.8333333,0.706040705,0.7241202
1566,519.8541667,0.710917272,0.7302201
1567,519.875,0.71535752,0.73726356
1568,519.8958333,0.719186392,0.7439009
1569,519.9166667,0.722419447,0.7485168
1570,519.9375,0.7253548790000001,0.75096995
1571,519.9583333,0.728546261,0.75243497
1572,519.9791667,0.7326807049999999,0.7545155
1573,520.0,0.7383161659999998,0.75865793
1574,520.0208333,0.745578686,0.76517373
1575,520.0416667,0.754046042,0.773371
1576,520.0625,0.762927664,0.78207874
1577,520.0833333,0.771469623,0.79015523
1578,520.1041667,0.779214052,0.79723567
1579,520.125,0.7859885870000001,0.8036163
1580,520.1458333,0.7917769049999999,0.8093706
1581,520.1666667,0.7965855650000001,0.8142016
1582,520.1875,0.8003367670000001,0.81794786
1583,520.2083333,0.8028485679999999,0.82063425
1584,520.2291667,0.803894952,0.82224953
1585,520.25,0.8032655470000001,0.822697
1586,520.2708333,0.8007923889999999,0.82198465
1587,520.2916667,0.7963438550000002,0.8202034
1588,520.3125,0.7898626870000001,0.81691647
1589,520.3333333,0.781396493,0.811289
1590,520.3541667,0.7711260209999998,0.80094993
1591,520.375,0.759332571,0.7835116
1592,520.3958333,0.746187602,0.76246387
1593,520.4166667,0.731987387,0.7446087
1594,520.4375,0.717288832,0.7331324
1595,520.4583333,0.7028040729999999,0.72702193
1596,520.4791667,0.689274353,0.72274864
1597,520.5,0.677254775,0.7172087
1598,520.5208333,0.667194886,0.7100675
1599,520.5416667,0.659628254,0.7028465
1600,520.5625,0.655141004,0.6973295
1601,520.5833333,0.654175241,0.6947666
1602,520.6041667,0.656701462,0.6953187
1603,520.625,0.662153051,0.6982344
1604,520.6458333,0.669749968,0.70300376
1605,520.6666667,0.67870223,0.7096359
1606,520.6875,0.68826741,0.7174472
1607,520.7083333,0.697810295,0.72507197
1608,520.7291667,0.706832473,0.73127866
1609,520.75,0.714953835,0.7354157
1610,520.7708333,0.7219253729999999,0.7382852
1611,520.7916667,0.7276354260000001,0.7413033
1612,520.8125,0.7320819320000002,0.74506855
1613,520.8333333,0.7353147140000001,0.74947
1614,520.8541667,0.737419065,0.75388116
1615,520.875,0.738559275,0.757601
1616,520.8958333,0.7389739470000001,0.7601519
1617,520.9166667,0.739012089,0.76137745
1618,520.9375,0.7391127030000001,0.7619471
1619,520.9583333,0.73975607,0.7630056
1620,520.9791667,0.7413439540000001,0.7650998
1621,521.0,0.744075679,0.7681297
1622,521.0208333,0.7479795499999999,0.772085
1623,521.0416667,0.7529096129999998,0.7772157
1624,521.0625,0.7586232629999999,0.7834712
1625,521.0833333,0.7648129000000001,0.7904518
1626,521.1041667,0.7711679359999999,0.7974275
1627,521.125,0.7774434570000001,0.8036366
1628,521.1458333,0.7834820570000001,0.8089611
1629,521.1666667,0.789173102,0.81380236
1630,521.1875,0.79437973,0.81856084
1631,521.2083333,0.7988677790000001,0.82338524
1632,521.2291667,0.8022941249999999,0.828034
1633,521.25,0.8042140759999999,0.8320208
1634,521.2708333,0.8042293,0.83465904
1635,521.2916667,0.802105198,0.8352398
1636,521.3125,0.7977846,0.8331961
1637,521.3333333,0.79138019,0.82813215
1638,521.3541667,0.7831602790000001,0.8181811
1639,521.375,0.773481325,0.8012957
1640,521.3958333,0.762668292,0.7807506
1641,521.4166667,0.7510347800000001,0.7624107
1642,521.4375,0.73897747,0.74907297
1643,521.4583333,0.7268448009999998,0.7402783
1644,521.4791667,0.7148789729999999,0.73393184
1645,521.5,0.703318034,0.72813594
1646,521.5208333,0.692453474,0.7220679
1647,521.5416667,0.682584635,0.7158179
1648,521.5625,0.6739633509999999,0.70970833
1649,521.5833333,0.666719689,0.7039382
1650,521.6041667,0.660883011,0.69887835
1651,521.625,0.6564575460000001,0.69502354
