,Time (d),NH4_meas_PCA_GA (gNm3),NH4_pred_PCA_GA (gN/m3)
130,494.0104167,3.37512682,3.236977
131,494.0625,3.626312915,3.4838703
132,494.11458330000005,3.8203022449999997,3.7150624
133,494.1666667,3.928158297,3.8695467
134,494.21875,3.9083621419999997,3.9124758
135,494.27083330000005,3.748043967,3.8165305
136,494.3229167,3.432381774,3.5707324
137,494.375,2.966322685,3.1894755
138,494.42708330000005,2.41124712,2.7044787
139,494.4791667,1.8984436749999996,2.2266788
140,494.53125,1.561687031,1.791885
141,494.58333330000005,1.413908633,1.4863099
142,494.6354167,1.347179098,1.3378884
143,494.6875,1.267439416,1.2640991
144,494.73958330000005,1.162406558,1.1829308
145,494.7916667,1.032161968,1.0767132
146,494.84375,0.889164182,0.96620053
147,494.89583330000005,0.7775096700000002,0.85667765
148,494.9479167,0.719830159,0.76754904
149,495.0,0.693505543,0.7170847
