,Time (d),PO4_meas_PCA (gPm3),PO4_pred_PCA (gP/m3)
362,494.77083330000005,0.08547296300000001,0.55018336
363,494.7916667,0.07440983899999999,0.5448514
364,494.8125,0.065939247,0.5435281
365,494.83333330000005,0.059438442,0.5451965
366,494.8541667,0.054435063,0.5493972
367,494.875,0.05055645599999999,0.55548525
368,494.89583330000005,0.047522234,0.5624056
369,494.9166667,0.045123939,0.56911486
370,494.9375,0.043219931,0.57459545
371,494.95833330000005,0.041734625,0.5784723
372,494.9791667,0.040632415,0.58120143
373,495.0,0.039901687000000005,0.5833238
374,495.02083330000005,0.039562263,0.5854299
375,495.0416667,0.039667933,0.58784634
376,495.0625,0.040316529,0.5902388
377,495.08333330000005,0.041673082,0.5923259
378,495.1041667,0.044004045,0.594602
379,495.125,0.047718029,0.5977324
380,495.14583330000005,0.053378759000000005,0.6023756
381,495.1666667,0.061638821999999996,0.60899085
382,495.1875,0.07310257999999999,0.61808735
383,495.20833330000005,0.088262804,0.62999445
384,495.2291667,0.10753368800000002,0.64475197
385,495.25,0.13130962599999998,0.66236997
386,495.27083330000005,0.160002388,0.68292785
387,495.2916667,0.19406864699999998,0.7066464
388,495.3125,0.23400754700000004,0.73387957
389,495.33333330000005,0.280229715,0.7651971
390,495.3541667,0.33266128,0.80222046
391,495.375,0.391404354,0.84661824
392,495.39583330000005,0.456699639,0.90011686
393,495.4166667,0.527703524,0.96342224
394,495.4375,0.601998233,1.032855
395,495.45833330000005,0.677196248,1.1030902
396,495.4791667,0.7516342709999998,1.1698452
397,495.5,0.8240107130000001,1.2305465
398,495.52083330000005,0.893252245,1.2849836
399,495.5416667,0.95842239,1.3340963
400,495.5625,1.018688135,1.3786796
401,495.58333330000005,1.073375433,1.4190166
402,495.6041667,1.121758067,1.4559104
403,495.625,1.163672385,1.4899282
404,495.64583330000005,1.199398552,1.5213237
405,495.6666667,1.229791812,1.5501789
406,495.6875,1.255842068,1.5759372
407,495.70833330000005,1.278379728,1.5979391
408,495.7291667,1.2981557259999998,1.61761
409,495.75,1.315955556,1.6374686
410,495.77083330000005,1.332727363,1.6581292
411,495.7916667,1.349274883,1.6788378
412,495.8125,1.366128169,1.6996337
413,495.83333330000005,1.38362396,1.7213483
414,495.8541667,1.401881193,1.7444143
415,495.875,1.420774789,1.7687479
416,495.89583330000005,1.439911536,1.7942588
417,495.9166667,1.458831425,1.8208724
418,495.9375,1.47716942,1.8478627
419,495.95833330000005,1.494747019,1.8741302
420,495.9791667,1.511591502,1.897853
421,496.0,1.5278183850000002,1.9172951
