,Time (d),PO44_meas_PCA (gP/m3),NH4_pred_PCA (gP/m3)
3213,554.1666667000002,4.729277372,5.125636
3214,554.1875,4.715995745,5.109846
3215,554.2083332999998,4.705381773,5.096222
3216,554.2291667000002,4.697444885,5.084144
3217,554.25,4.692070802,5.073493
3218,554.2708332999998,4.688998925,5.064223
3219,554.2916667000002,4.687835964,5.056164
3220,554.3125,4.68842808,5.049562
3221,554.3333332999998,4.690599113,5.0451107
3222,554.3541667000002,4.69422972,5.0433264
3223,554.375,4.699301922,5.044373
3224,554.3958332999998,4.705859166000001,5.050083
3225,554.4166667000002,4.713888526,5.064104
3226,554.4375,4.723177716,5.0860634
3227,554.4583332999998,4.733441621,5.1123047
3228,554.4791667000002,4.744436701000001,5.137117
3229,554.5,4.755815459,5.1552205
3230,554.5208332999998,4.766994962,5.1669254
3231,554.5416667000002,4.777271614,5.1756945
3232,554.5625,4.785938826000001,5.182765
3233,554.5833332999998,4.792277667,5.187055
3234,554.6041667000002,4.795671191,5.1882396
3235,554.625,4.795755098,5.186925
3236,554.6458332999998,4.792534141,5.1835885
3237,554.6666667000002,4.786209969,5.1784005
3238,554.6875,4.777107778,5.170574
3239,554.7083332999998,4.765635649,5.1591835
3240,554.7291667000002,4.752327216,5.1456127
3241,554.75,4.737701774,5.132586
3242,554.7708332999998,4.722131064,5.121272
3243,554.7916667000002,4.705969914,5.1112843
3244,554.8125,4.689643503,5.10154
3245,554.8333332999998,4.673516424,5.0911937
3246,554.8541667000002,4.657801134,5.07914
3247,554.875,4.642728475,5.0643883
3248,554.8958332999998,4.628570797,5.048436
3249,554.9166667000002,4.615420277,5.033821
3250,554.9375,4.603128288,5.0219707
3251,554.9583332999998,4.59132789,5.012955
3252,554.9791667000002,4.579497175,5.0050645
3253,555.0,4.567083964,4.9961166
3254,555.0208332999998,4.553619341,4.9852333
3255,555.0416667000002,4.5388131430000005,4.972531
3256,555.0625,4.522639015,4.9583855
3257,555.0833332999998,4.505367843999999,4.9430876
3258,555.1041667000002,4.487527205,4.9268966
3259,555.125,4.469744452,4.9102345
3260,555.1458332999998,4.452613391,4.8934526
3261,555.1666667000002,4.43665004,4.876766
3262,555.1875,4.422279789,4.860317
3263,555.2083332999998,4.409873126,4.844295
3264,555.2291667000002,4.399749226,4.8294487
3265,555.25,4.392152014,4.8166757
3266,555.2708332999998,4.38718315,4.80609
3267,555.2916667000002,4.384989335,4.7972226
3268,555.3125,4.38562445,4.7900534
3269,555.3333332999998,4.389108219,4.7850246
3270,555.3541667000002,4.395432785,4.783741
3271,555.375,4.404410578999999,4.7879143
3272,555.3958332999998,4.416016989,4.799459
3273,555.4166667000002,4.430169548,4.8213177
3274,555.4375,4.446494428,4.852013
3275,555.4583332999998,4.464464075,4.8866925
3276,555.4791667000002,4.483532909,4.9199176
3277,555.5,4.503267695,4.9476595
3278,555.5208332999998,4.523381725,4.968315
3279,555.5416667000002,4.5433409430000005,4.982025
3280,555.5625,4.5622153910000005,4.9921675
3281,555.5833332999998,4.579151999,5.0023746
3282,555.6041667000002,4.593611985,5.013334
3283,555.625,4.605293487,5.0237703
3284,555.6458332999998,4.61403322,5.032122
3285,555.6666667000002,4.619771849,5.0373693
3286,555.6875,4.622513415,5.0386925
3287,555.7083332999998,4.622298685,5.0355678
3288,555.7291667000002,4.619276612,5.0293283
3289,555.75,4.613723664,5.022114
3290,555.7708332999998,4.6059479780000006,5.0142646
3291,555.7916667000002,4.596302071,5.00493
3292,555.8125,4.585216104,4.994218
3293,555.8333332999998,4.573073696,4.983071
3294,555.8541667000002,4.560110281,4.972637
3295,555.875,4.5463108530000005,4.9636497
3296,555.8958332999998,4.53141058,4.9554768
3297,555.9166667000002,4.514895669,4.9467754
3298,555.9375,4.496071497,4.935427
3299,555.9583332999998,4.474322737,4.9193697
3300,555.9791667000002,4.449497625,4.899135
3301,556.0,4.42185112,4.876733
3302,556.0208332999998,4.391887412,4.852889
3303,556.0416667000002,4.360264356,4.8271775
3304,556.0625,4.3276839360000015,4.798588
3305,556.0833332999998,4.295058485,4.7664547
3306,556.1041667000002,4.2635234560000015,4.732708
3307,556.125,4.2339294710000015,4.700402
3308,556.1458332999998,4.206725405,4.67052
3309,556.1666667000002,4.18223105,4.6423926
3310,556.1875,4.160717645,4.6158576
3311,556.2083332999998,4.142279585,4.5914474
3312,556.2291667000002,4.126823922,4.569203
3313,556.25,4.114210859,4.548677
3314,556.2708332999998,4.104315814,4.529761
3315,556.2916667000002,4.097027788,4.5126767
3316,556.3125,4.092231442,4.498268
3317,556.3333332999998,4.089784454,4.487587
3318,556.3541667000002,4.089483957,4.4823823
3319,556.375,4.091135813,4.484153
3320,556.3958332999998,4.094587942,4.493239
3321,556.4166667000002,4.099722443,4.509914
3322,556.4375,4.106372667,4.5309706
3323,556.4583332999998,4.114353522,4.551483
3324,556.4791667000002,4.123501799,4.567241
3325,556.5,4.133555907,4.5760846
3326,556.5208332999998,4.1439709439999985,4.580809
3327,556.5416667000002,4.1539621460000005,4.585434
3328,556.5625,4.162578807,4.590532
3329,556.5833332999998,4.168692534,4.594174
3330,556.6041667000002,4.171189548,4.5952406
3331,556.625,4.169290887,4.593631
3332,556.6458332999998,4.1626957660000015,4.588901
3333,556.6666667000002,4.151553168,4.5803776
3334,556.6875,4.136325703,4.567265
3335,556.7083332999998,4.117860747,4.5492682
3336,556.7291667000002,4.097253302,4.528811
3337,556.75,4.075680371,4.5094995
3338,556.7708332999998,4.054185623,4.4929757
3339,556.7916667000002,4.033635473,4.4792213
3340,556.8125,4.014716314,4.4670315
3341,556.8333332999998,3.997968277,4.4550443
3342,556.8541667000002,3.98375591,4.4424057
3343,556.875,3.972380113,4.4288793
3344,556.8958332999998,3.9640350410000003,4.4159765
3345,556.9166667000002,3.958686122,4.405641
3346,556.9375,3.956040337,4.399171
3347,556.9583332999998,3.955567858,4.396825
3348,556.9791667000002,3.95659433,4.397442
3349,557.0,3.958385315,4.399324
3350,557.0208332999998,3.960255395,4.401085
3351,557.0416667000002,3.961646333,4.4018855
3352,557.0625,3.962313347,4.4017587
3353,557.0833332999998,3.9622854490000003,4.4011545
3354,557.1041667000002,3.9618710570000006,4.4001327
3355,557.125,3.961567519,4.3986096
3356,557.1458332999998,3.961967745,4.396111
3357,557.1666667000002,3.9637002830000005,4.392261
3358,557.1875,3.9673388659999995,4.388554
3359,557.2083332999998,3.973341607,4.387204
3360,557.2291667000002,3.9820631389999996,4.3889875
3361,557.25,3.9937790730000002,4.3935447
3362,557.2708332999998,4.008691625,4.400109
3363,557.2916667000002,4.026921429,4.4081354
3364,557.3125,4.048388994,4.418026
3365,557.3333332999998,4.07301363,4.4306736
3366,557.3541667000002,4.100448082,4.4484825
3367,557.375,4.1304705839999984,4.4736757
3368,557.3958332999998,4.163129152,4.5076065
3369,557.4166667000002,4.198351803,4.5515485
3370,557.4375,4.23555532,4.602447
3371,557.4583332999998,4.273995804,4.6549363
3372,557.4791667000002,4.312970107,4.7042837
3373,557.5,4.351898688,4.747524
3374,557.5208332999998,4.390263137,4.7849894
3375,557.5416667000002,4.42760118,4.81851
3376,557.5625,4.463522124,4.84923
3377,557.5833332999998,4.497567469,4.8772306
3378,557.6041667000002,4.529231505,4.902728
3379,557.625,4.558103931000001,4.926105
3380,557.6458332999998,4.584057811,4.947616
3381,557.6666667000002,4.607146693,4.967411
3382,557.6875,4.627645011,4.9850736
3383,557.7083332999998,4.645875762,5.0001936
3384,557.7291667000002,4.662133326,5.013759
3385,557.75,4.67678386,5.027465
3386,557.7708332999998,4.69026482,5.041943
3387,557.7916667000002,4.702927907,5.0569944
3388,557.8125,4.715145988,5.0716224
3389,557.8333332999998,4.727239255,5.0847964
3390,557.8541667000002,4.739498504,5.096375
3391,557.875,4.7521254,5.1069074
3392,557.8958332999998,4.76519092,5.1172028
3393,557.9166667000002,4.778609122,5.1278543
3394,557.9375,4.792109832,5.139428
3395,557.9583332999998,4.805360478,5.152157
3396,557.9791667000002,4.818047997,5.165114
3397,558.0,4.82984056,5.1769834
3398,558.0208332999998,4.840430909,5.1876283
3399,558.0416667000002,4.849736094,5.1975193
3400,558.0625,4.85793853,5.2054453
3401,558.0833332999998,4.865324078,5.2095675
3402,558.1041667000002,4.872223092,5.21127
3403,558.125,4.879094877,5.2134223
3404,558.1458332999998,4.886470982,5.216848
3405,558.1666667000002,4.894826837,5.2208934
3406,558.1875,4.904475615,5.2255435
3407,558.2083332999998,4.9155605000000016,5.231451
3408,558.2291667000002,4.928100798,5.2389755
3409,558.25,4.942068966,5.2480507
3410,558.2708332999998,4.957458014,5.2581563
3411,558.2916667000002,4.9743206760000005,5.2686844
3412,558.3125,4.9927897,5.279195
3413,558.3333332999998,5.0129790210000005,5.289647
3414,558.3541667000002,5.034947823,5.301609
3415,558.375,5.058739294,5.317098
3416,558.3958332999998,5.084459504,5.3391304
3417,558.4166667000002,5.112069691,5.3714504
3418,558.4375,5.141318957,5.412171
3419,558.4583332999998,5.171850983,5.455616
3420,558.4791667000002,5.203307339,5.4961486
3421,558.5,5.235246704,5.5301056
3422,558.5208332999998,5.267077922,5.557931
3423,558.5416667000002,5.298177544,5.582065
3424,558.5625,5.327892302,5.6046576
3425,558.5833332999998,5.355642898,5.6265764
3426,558.6041667000002,5.380962791,5.647713
3427,558.625,5.40355997,5.6675477
3428,558.6458332999998,5.423315166,5.685141
3429,558.6666667000002,5.440192962,5.699616
3430,558.6875,5.454199135,5.71083
3431,558.7083332999998,5.465511167000001,5.7191734
3432,558.7291667000002,5.47454988,5.72553
3433,558.75,5.481671347000001,5.730952
3434,558.7708332999998,5.487268828,5.7359185
3435,558.7916667000002,5.491714504,5.7407475
3436,558.8125,5.495345483,5.745815
3437,558.8333332999998,5.498490761,5.751336
3438,558.8541667000002,5.501422036,5.7564325
3439,558.875,5.504319499,5.7598486
3440,558.8958332999998,5.507241187000001,5.7617764
3441,558.9166667000002,5.510133516000002,5.7632737
3442,558.9375,5.512862734,5.764774
3443,558.9583332999998,5.515240222999999,5.7659783
3444,558.9791667000002,5.517029299,5.7667594
3445,559.0,5.51807992,5.7672057
3446,559.0208332999998,5.518228287,5.7671227
3447,559.0416667000002,5.5173991560000015,5.7660646
3448,559.0625,5.515620717999999,5.7642636
3449,559.0833332999998,5.513017989,5.762326
3450,559.1041667000002,5.509762978,5.76009
3451,559.125,5.506052857999999,5.7568784
3452,559.1458332999998,5.502107335,5.7524734
3453,559.1666667000002,5.4981572970000006,5.747175
3454,559.1875,5.494449676,5.741383
3455,559.2083332999998,5.491258402000001,5.735426
3456,559.2291667000002,5.488811359,5.729822
3457,559.25,5.487379065,5.725109
3458,559.2708332999998,5.487168794,5.7215023
3459,559.2916667000002,5.4883349710000005,5.718909
3460,559.3125,5.490988829,5.7172503
3461,559.3333332999998,5.495180994,5.71658
3462,559.3541667000002,5.50101097,5.7170177
3463,559.375,5.508618041,5.718592
3464,559.3958332999998,5.51823904,5.7231255
3465,559.4166667000002,5.529998251,5.734597
3466,559.4375,5.543713769,5.754065
3467,559.4583332999998,5.559041933,5.7794113
3468,559.4791667000002,5.575670212,5.8057523
3469,559.5,5.593202039,5.827808
3470,559.5208332999998,5.61099866,5.8442435
3471,559.5416667000002,5.62816729,5.8566113
3472,559.5625,5.643775412,5.866408
3473,559.5833332999998,5.657012752000001,5.873996
3474,559.6041667000002,5.667082774,5.8792176
3475,559.625,5.673464485,5.8816986
3476,559.6458332999998,5.6758427089999985,5.881489
3477,559.6666667000002,5.6742776039999985,5.878792
3478,559.6875,5.669054546,5.873442
3479,559.7083332999998,5.660528817,5.865165
3480,559.7291667000002,5.649212565,5.8547034
3481,559.75,5.635452117000001,5.843522
3482,559.7708332999998,5.61950264,5.8321013
3483,559.7916667000002,5.601514296,5.82011
3484,559.8125,5.581675298,5.806376
3485,559.8333332999998,5.560422898,5.789785
3486,559.8541667000002,5.538550017,5.771553
3487,559.875,5.516747935,5.7541986
3488,559.8958332999998,5.495336775,5.738416
3489,559.9166667000002,5.474436694,5.723216
3490,559.9375,5.454066582,5.707971
3491,559.9583332999998,5.434058109,5.692788
3492,559.9791667000002,5.4140788010000005,5.6774516
3493,560.0,5.393887874,5.6613564
3494,560.0208332999998,5.373492069,5.6445985
3495,560.0416667000002,5.353055928,5.6278086
3496,560.0625,5.332797488,5.6110816
3497,560.0833332999998,5.31301085,5.594037
3498,560.1041667000002,5.294020115,5.576575
3499,560.125,5.276161848,5.5589385
3500,560.1458332999998,5.25972182,5.5417747
3501,560.1666667000002,5.244878092,5.525754
3502,560.1875,5.231706276000001,5.5109453
3503,560.2083332999998,5.220262374,5.497026
3504,560.2291667000002,5.210600624,5.484162
3505,560.25,5.202711033,5.472845
3506,560.2708332999998,5.196533833,5.4629254
3507,560.2916667000002,5.191988466000001,5.4537587
3508,560.3125,5.189043535,5.444753
3509,560.3333332999998,5.187706976,5.435761
3510,560.3541667000002,5.1879646280000005,5.428327
3511,560.375,5.189798056,5.424436
3512,560.3958332999998,5.193177913,5.427084
3513,560.4166667000002,5.198084932,5.440095
3514,560.4375,5.204371503,5.46186
3515,560.4583332999998,5.211747337,5.487146
3516,560.4791667000002,5.219824568,5.510197
3517,560.5,5.228158802,5.526803
3518,560.5208332999998,5.236268346,5.536897
3519,560.5416667000002,5.243614966,5.542759
3520,560.5625,5.249614556,5.5468345
3521,560.5833332999998,5.2537995230000005,5.550394
3522,560.6041667000002,5.255762719,5.552639
3523,560.625,5.255183839,5.5517693
3524,560.6458332999998,5.251904799999998,5.547368
3525,560.6666667000002,5.245989325,5.540221
3526,560.6875,5.237658601000001,5.530751
3527,560.7083332999998,5.227210766000001,5.5189147
3528,560.7291667000002,5.214990681000001,5.505312
3529,560.75,5.201312631,5.4910865
3530,560.7708332999998,5.186434874,5.4772224
3531,560.7916667000002,5.1705794,5.464302
3532,560.8125,5.153976915,5.4522834
3533,560.8333332999998,5.136843181000001,5.440906
3534,560.8541667000002,5.119362933000001,5.4298263
3535,560.875,5.101587747,5.418777
3536,560.8958332999998,5.083367324,5.4068565
3537,560.9166667000002,5.064493298,5.3928423
3538,560.9375,5.04479087,5.3768563
3539,560.9583332999998,5.024133182,5.3598394
3540,560.9791667000002,5.002486923999999,5.34246
3541,561.0,4.979929539,5.3249297
3542,561.0208332999998,4.956642959,5.30706
3543,561.0416667000002,4.932906705,5.2885966
3544,561.0625,4.909071986,5.2696476
3545,561.0833332999998,4.8854724130000005,5.250574
3546,561.1041667000002,4.862396425,5.231425
3547,561.125,4.840132707,5.2120686
3548,561.1458332999998,4.818997971,5.1927304
3549,561.1666667000002,4.799318853,5.173903
3550,561.1875,4.781443891,5.156063
3551,561.2083332999998,4.76560415,5.1395907
3552,561.2291667000002,4.752077263,5.1246405
3553,561.25,4.741071235,5.1113553
3554,561.2708332999998,4.732738957,5.099872
3555,561.2916667000002,4.727156685,5.090313
3556,561.3125,4.724348711,5.0824523
3557,561.3333332999998,4.724352551,5.0759845
3558,561.3541667000002,4.727175964,5.0717936
3559,561.375,4.732802477,5.0713315
3560,561.3958332999998,4.741213724,5.077889
3561,561.4166667000002,4.752283164,5.0961623
3562,561.4375,4.765700347,5.1247387
3563,561.4583332999998,4.780983465,5.1575823
3564,561.4791667000002,4.797546681,5.1887383
3565,561.5,4.8147915580000005,5.2144423
3566,561.5208332999998,4.832144023,5.2340045
3567,561.5416667000002,4.848994949,5.248324
3568,561.5625,4.864700175,5.2587223
3569,561.5833332999998,4.878589262,5.2660255
3570,561.6041667000002,4.890066917,5.2710667
3571,561.625,4.898729305,5.274559
3572,561.6458332999998,4.904502911,5.2770615
3573,561.6666667000002,4.907485209,5.278985
3574,561.6875,4.907885635,5.2794147
3575,561.7083332999998,4.9058987510000005,5.276945
3576,561.7291667000002,4.901660369,5.271387
3577,561.75,4.895297512,5.2636495
3578,561.7708332999998,4.887024283,5.2556925
3579,561.7916667000002,4.877144428,5.2495017
3580,561.8125,4.865914092,5.244129
3581,561.8333332999998,4.853660063,5.2367754
3582,561.8541667000002,4.840816691000001,5.226739
3583,561.875,4.8277692960000005,5.215388
3584,561.8958332999998,4.814737271,5.20411
3585,561.9166667000002,4.801726324,5.1934805
3586,561.9375,4.78853994,5.182836
3587,561.9583332999998,4.774898417,5.170985
3588,561.9791667000002,4.7605313460000005,5.1577563
3589,562.0,4.74520562,5.1437006
3590,562.0208332999998,4.72879283,5.1291804
3591,562.0416667000002,4.711300343,5.114179
3592,562.0625,4.692856696000001,5.098097
3593,562.0833332999998,4.673750135,5.0802784
3594,562.1041667000002,4.65443216,5.061317
3595,562.125,4.635342554,5.042509
3596,562.1458332999998,4.616831666,5.024324
3597,562.1666667000002,4.599238006,5.006538
3598,562.1875,4.582919555,4.989234
3599,562.2083332999998,4.568186774,4.972891
3600,562.2291667000002,4.55527492,4.957692
3601,562.25,4.544402833,4.943463
3602,562.2708332999998,4.535794262,4.929997
3603,562.2916667000002,4.52966411,4.917341
3604,562.3125,4.526224847,4.905525
3605,562.3333332999998,4.52571414,4.8946795
3606,562.3541667000002,4.528351598,4.886961
3607,562.375,4.534191755,4.885067
3608,562.3958332999998,4.543395597,4.8907337
3609,562.4166667000002,4.555873407,4.9059105
3610,562.4375,4.570847997,4.9299917
3611,562.4583332999998,4.587250795,4.960028
3612,562.4791667000002,4.604169198999999,4.9899073
3613,562.5,4.620610307,5.013092
3614,562.5208332999998,4.63531429,5.028774
3615,562.5416667000002,4.647065218,5.039724
3616,562.5625,4.654867575,5.0478005
3617,562.5833332999998,4.658060702,5.05303
3618,562.6041667000002,4.65634949,5.0546145
3619,562.625,4.64978824,5.051798
3620,562.6458332999998,4.638671679,5.0436945
3621,562.6666667000002,4.623529862,5.029707
3622,562.6875,4.605191504,5.0108647
3623,562.7083332999998,4.58463327,4.9891934
3624,562.7291667000002,4.562768669,4.9666824
3625,562.75,4.540402266,4.9448166
3626,562.7708332999998,4.518179285,4.9244986
3627,562.7916667000002,4.496528833999999,4.9062605
3628,562.8125,4.475637636,4.889599
3629,562.8333332999998,4.455534967,4.873432
3630,562.8541667000002,4.436160745,4.857346
3631,562.875,4.417341802,4.8417087
3632,562.8958332999998,4.39881947,4.826893
3633,562.9166667000002,4.380222441,4.812815
3634,562.9375,4.361071757,4.7982206
3635,562.9583332999998,4.340991596,4.7814727
3636,562.9791667000002,4.3198637810000005,4.762933
3637,563.0,4.297727515,4.7441163
3638,563.0208332999998,4.274722915,4.72548
3639,563.0416667000002,4.251127312,4.706559
3640,563.0625,4.227346444,4.6868596
3641,563.0833332999998,4.203810834,4.666245
3642,563.1041667000002,4.180928135,4.6447334
3643,563.125,4.159098883,4.6223965
3644,563.1458332999998,4.138743131,4.5995593
3645,563.1666667000002,4.120343722,4.5767484
3646,563.1875,4.104414895,4.5551615
3647,563.2083332999998,4.091318209,4.5360246
3648,563.2291667000002,4.081263744,4.5183043
3649,563.25,4.074551059,4.499983
3650,563.2708332999998,4.071433461,4.4826035
3651,563.2916667000002,4.071870618,4.4692807
3652,563.3125,4.07565051,4.4601502
3653,563.3333332999998,4.082493983,4.4537487
3654,563.3541667000002,4.091826273,4.4525404
3655,563.375,4.102923369,4.4601555
3656,563.3958332999998,4.1152201910000015,4.4774714
3657,563.4166667000002,4.128165084,4.503937
3658,563.4375,4.141093671,4.535087
3659,563.4583332999998,4.1534757110000005,4.56531
3660,563.4791667000002,4.165051863,4.589305
3661,563.5,4.1756591689999984,4.603375
3662,563.5208332999998,4.185116733,4.6098595
3663,563.5416667000002,4.193296013,4.613628
3664,563.5625,4.2000491460000005,4.6167994
3665,563.5833332999998,4.205119367,4.618782
3666,563.6041667000002,4.208165272,4.618253
3667,563.625,4.208791158,4.614379
3668,563.6458332999998,4.206748374,4.6081133
3669,563.6666667000002,4.20206872,4.6010594
3670,563.6875,4.195026525,4.5936337
3671,563.7083332999998,4.186013143,4.5855064
3672,563.7291667000002,4.175442975,4.5765896
3673,563.75,4.163689633,4.5672297
3674,563.7708332999998,4.151137948,4.5578666
3675,563.7916667000002,4.138143757,4.548892
3676,563.8125,4.125036999,4.538587
3677,563.8333332999998,4.112393399,4.5245285
3678,563.8541667000002,4.101014054,4.5088034
3679,563.875,4.0914818010000005,4.4955883
3680,563.8958332999998,4.083939545,4.487236
3681,563.9166667000002,4.078058205,4.483951
3682,563.9375,4.073137172,4.483915
3683,563.9583332999998,4.068275513,4.4847374
3684,563.9791667000002,4.062560042,4.484414
3685,564.0,4.055309905,4.481642
3686,564.0208332999998,4.0462761710000015,4.4762483
3687,564.0416667000002,4.0357196580000005,4.4687195
3688,564.0625,4.024332516,4.459639
3689,564.0833332999998,4.013074112,4.4495893
3690,564.1041667000002,4.0029715060000015,4.4392667
3691,564.125,3.994973859,4.429457
3692,564.1458332999998,3.989841608,4.4210773
3693,564.1666667000002,3.9881054080000005,4.414969
3694,564.1875,3.990074593,4.411753
3695,564.2083332999998,3.9958982249999995,4.4116855
3696,564.2291667000002,4.005728495,4.413723
3697,564.25,4.019609788,4.41655
3698,564.2708332999998,4.037361939,4.421524
3699,564.2916667000002,4.058549235,4.430967
3700,564.3125,4.082911529,4.4450765
3701,564.3333332999998,4.110284264,4.4628725
3702,564.3541667000002,4.140576884,4.48417
3703,564.375,4.173662364,4.5095725
3704,564.3958332999998,4.209355432,4.5414753
3705,564.4166667000002,4.247229127,4.583459
3706,564.4375,4.286503934,4.633841
3707,564.4583332999998,4.326399003,4.6872325
3708,564.4791667000002,4.366261375,4.7383323
3709,564.5,4.40560801,4.783732
3710,564.5208332999998,4.444064534,4.82298
3711,564.5416667000002,4.481231092,4.857192
3712,564.5625,4.516599971000001,4.888176
3713,564.5833332999998,4.549622947,4.9172673
3714,564.6041667000002,4.580143805,4.944691
3715,564.625,4.608147098,4.9701977
3716,564.6458332999998,4.633831479,4.9930663
3717,564.6666667000002,4.657380638,5.012688
3718,564.6875,4.679100224,5.029018
3719,564.7083332999998,4.699310074,5.042657
3720,564.7291667000002,4.718317005,5.055447
3721,564.75,4.7364626130000005,5.0695324
3722,564.7708332999998,4.754116804,5.085844
3723,564.7916667000002,4.771612745,5.1044354
3724,564.8125,4.789221565,5.123884
3725,564.8333332999998,4.807035711,5.142254
3726,564.8541667000002,4.824933215,5.1596274
3727,564.875,4.842740341,5.177366
3728,564.8958332999998,4.860308306,5.1961303
3729,564.9166667000002,4.877523008,5.2156825
3730,564.9375,4.894267737,5.2352953
3731,564.9583332999998,4.910462674,5.2542176
3732,564.9791667000002,4.926100462,5.2716184
3733,565.0,4.941171357,5.2868476
3734,565.0208332999998,4.955663208,5.3005037
3735,565.0416667000002,4.969689305,5.3137755
3736,565.0625,4.983512338,5.3271117
3737,565.0833332999998,4.997472215,5.340301
3738,565.1041667000002,5.011907133999999,5.3532124
3739,565.125,5.02712173,5.3660016
3740,565.1458332999998,5.043370026,5.379034
3741,565.1666667000002,5.060871538,5.3926444
3742,565.1875,5.079839113,5.406774
3743,565.2083332999998,5.100432887,5.4211836
3744,565.2291667000002,5.122713666,5.4361424
3745,565.25,5.146703178,5.452171
3746,565.2708332999998,5.172450744,5.4693775
3747,565.2916667000002,5.200016534,5.487563
3748,565.3125,5.229505763,5.506635
3749,565.3333332999998,5.260876287,5.5267763
3750,565.3541667000002,5.294080155,5.5487633
3751,565.375,5.329084282,5.5736065
3752,565.3958332999998,5.365977639,5.603663
3753,565.4166667000002,5.404593648,5.6425405
3754,565.4375,5.444276864,5.689629
3755,565.4583332999998,5.484457616,5.740902
3756,565.4791667000002,5.52503077,5.790617
3757,565.5,5.565807692000001,5.8334107
3758,565.5208332999998,5.606118472,5.8689957
3759,565.5416667000002,5.645401719,5.900428
3760,565.5625,5.683592387000001,5.929485
3761,565.5833332999998,5.720565162000001,5.9561014
3762,565.6041667000002,5.755851064,5.980518
3763,565.625,5.788896115,6.003406
3764,565.6458332999998,5.819269427,6.0252237
3765,565.6666667000002,5.84681927,6.046009
3766,565.6875,5.871640846,6.064963
3767,565.7083332999998,5.893838914,6.081068
3768,565.7291667000002,5.913452637000001,6.094679
3769,565.75,5.930594898,6.1070867
3770,565.7708332999998,5.945561213000001,6.11882
3771,565.7916667000002,5.958527949,6.1297364
3772,565.8125,5.969602713,6.1397862
3773,565.8333332999998,5.978973524,6.1491437
3774,565.8541667000002,5.986914758999998,6.1574574
3775,565.875,5.9936782220000016,6.164078
3776,565.8958332999998,5.999486411,6.1686997
3777,565.9166667000002,6.004388361,6.1715074
3778,565.9375,6.008338877999999,6.1732106
3779,565.9583332999998,6.011222834,6.174575
3780,565.9791667000002,6.012902173,6.1760244
3781,566.0,6.013254084999999,6.1776376
3782,566.0208332999998,6.012201314,6.1790643
3783,566.0416667000002,6.009725531,6.1798587
3784,566.0625,6.005862471,6.1793017
