,Time (d),PO4_meas_Pearson (gP/m3),PO4_pred_Pearson (gP/m3)
4688,584.8958332999998,4.3209838,4.1382723
4689,584.9166667000002,4.325573635,4.1422105
4690,584.9375,4.328958524,4.145407
4691,584.9583332999998,4.330443919,4.146739
4692,584.9791667000002,4.329406629,4.146293
4693,585.0,4.3253902680000005,4.144745
4694,585.0208332999998,4.3181836910000015,4.141865
4695,585.0416667000002,4.3080157739999985,4.1368814
4696,585.0625,4.29534191,4.12942
4697,585.0833332999998,4.280910391,4.1196346
4698,585.1041667000002,4.265648162,4.1082463
4699,585.125,4.250558934,4.096245
4700,585.1458332999998,4.236628069,4.084678
4701,585.1666667000002,4.224801649,4.0748405
4702,585.1875,4.21590812,4.0671773
4703,585.2083332999998,4.210578298,4.062234
4704,585.2291667000002,4.209218624,4.060183
4705,585.25,4.2120494110000015,4.061367
4706,585.2708332999998,4.219115065,4.066084
4707,585.2916667000002,4.230314644,4.0743594
4708,585.3125,4.245455857,4.0862627
4709,585.3333332999998,4.264321913,4.101639
4710,585.3541667000002,4.286742564,4.119001
4711,585.375,4.312617454,4.139086
4712,585.3958332999998,4.341909777,4.1608825
4713,585.4166667000002,4.374428431,4.183648
4714,585.4375,4.409573721,4.2096086
4715,585.4583332999998,4.446731192,4.240701
4716,585.4791667000002,4.485523623,4.27473
4717,585.5,4.525507892,4.3133483
4718,585.5208332999998,4.565887914,4.3543887
4719,585.5416667000002,4.605771758,4.3956
4720,585.5625,4.644325685,4.435679
4721,585.5833332999998,4.680787345,4.4739637
4722,585.6041667000002,4.714446588,4.5099115
4723,585.625,4.744789856000001,4.542867
4724,585.6458332999998,4.771339406,4.5721197
4725,585.6666667000002,4.793857424,4.5969925
4726,585.6875,4.812338772,4.617408
4727,585.7083332999998,4.82707302,4.6330104
4728,585.7291667000002,4.838537583,4.643726
4729,585.75,4.847203975,4.6510863
4730,585.7708332999998,4.853525283,4.6547523
4731,585.7916667000002,4.858012715,4.654984
4732,585.8125,4.861210003,4.6543107
4733,585.8333332999998,4.863638646,4.6542754
4734,585.8541667000002,4.865794554,4.654942
4735,585.875,4.868148092,4.6556745
4736,585.8958332999998,4.8710952910000005,4.656675
4737,585.9166667000002,4.874915478,4.6586933
4738,585.9375,4.879684921,4.6620626
4739,585.9583332999998,4.885296265,4.66668
4740,585.9791667000002,4.891454897,4.6740537
4741,586.0,4.897783381,4.6826167
4742,586.0208332999998,4.903914203999999,4.691363
4743,586.0416667000002,4.909573236,4.6999288
4744,586.0625,4.914605536,4.7083573
4745,586.0833332999998,4.918965943,4.716712
4746,586.1041667000002,4.922739649,4.7243657
4747,586.125,4.92617653,4.7307734
4748,586.1458332999998,4.929668278,4.7363048
4749,586.1666667000002,4.933681961,4.7417006
4750,586.1875,4.938686979,4.747404
4751,586.2083332999998,4.945109413,4.753715
4752,586.2291667000002,4.95331677,4.761084
4753,586.25,4.963592162,4.7704897
4754,586.2708332999998,4.976086093,4.7817345
4755,586.2916667000002,4.990845445,4.7945566
4756,586.3125,5.007874867,4.808877
4757,586.3333332999998,5.027238652,4.8245516
4758,586.3541667000002,5.049186073,4.8412952
4759,586.375,5.073938505,4.858654
4760,586.3958332999998,5.101497698,4.87719
4761,586.4166667000002,5.131671218,4.9044967
4762,586.4375,5.164124135,4.93321
4763,586.4583332999998,5.198260641,4.963737
4764,586.4791667000002,5.2331755,4.996121
4765,586.5,5.267881274,5.0294843
4766,586.5208332999998,5.301454646,5.062887
4767,586.5416667000002,5.333117932,5.0954576
4768,586.5625,5.362246612,5.1265297
4769,586.5833332999998,5.388153047,5.1555047
4770,586.6041667000002,5.410151619,5.181366
4771,586.625,5.42790498,5.2031126
4772,586.6458332999998,5.441492687999999,5.220336
4773,586.6666667000002,5.451291319,5.23311
4774,586.6875,5.457817897999999,5.241908
4775,586.7083332999998,5.461694896,5.247302
4776,586.7291667000002,5.463430726,5.2497334
4777,586.75,5.463679367999999,5.2492194
4778,586.7708332999998,5.46291621,5.246056
4779,586.7916667000002,5.461591648,5.241084
4780,586.8125,5.46012603,5.2356524
4781,586.8333332999998,5.4588885660000015,5.2308345
4782,586.8541667000002,5.458177575,5.22669
4783,586.875,5.458171487,5.22281
4784,586.8958332999998,5.458943528,5.219735
4785,586.9166667000002,5.460458449,5.218618
4786,586.9375,5.462552112000001,5.21936
4787,586.9583332999998,5.464951693,5.2209544
4788,586.9791667000002,5.467356054,5.223015
4789,587.0,5.469492899,5.225781
4790,587.0208332999998,5.471149723,5.2292285
4791,587.0416667000002,5.472194237,5.233019
4792,587.0625,5.472568809,5.2370663
4793,587.0833332999998,5.472311129,5.2414465
4794,587.1041667000002,5.471553612,5.245765
4795,587.125,5.470514537000001,5.2495127
4796,587.1458332999998,5.46949196,5.2525315
4797,587.1666667000002,5.468819987000001,5.2550416
4798,587.1875,5.468832483,5.2575145
4799,587.2083332999998,5.469824799,5.260456
4800,587.2291667000002,5.472035905,5.264236
4801,587.25,5.475645481,5.2690954
4802,587.2708332999998,5.480793009,5.2752795
4803,587.2916667000002,5.48760831,5.2829638
4804,587.3125,5.496143162999999,5.2921853
4805,587.3333332999998,5.506492695,5.3026085
4806,587.3541667000002,5.5187972510000005,5.314754
4807,587.375,5.533177802000001,5.328718
4808,587.3958332999998,5.549800381,5.343669
4809,587.4166667000002,5.56862594,5.359132
4810,587.4375,5.589225665,5.3755436
4811,587.4583332999998,5.611031292000001,5.3934407
4812,587.4791667000002,5.633565841,5.413207
4813,587.5,5.656341852000001,5.434843
4814,587.5208332999998,5.678755102999999,5.457575
4815,587.5416667000002,5.700195626,5.4801965
4816,587.5625,5.720160407000001,5.501988
4817,587.5833332999998,5.738229639,5.5227017
4818,587.6041667000002,5.754051039,5.542097
4819,587.625,5.767377756,5.559694
4820,587.6458332999998,5.77802815,5.5745034
4821,587.6666667000002,5.786070637999999,5.5855994
4822,587.6875,5.791768004,5.5929513
4823,587.7083332999998,5.795419174,5.5970116
4824,587.7291667000002,5.797348993,5.598187
4825,587.75,5.797843864,5.596677
4826,587.7708332999998,5.797088329,5.5927415
4827,587.7916667000002,5.79523927,5.5868974
4828,587.8125,5.792364413,5.5799994
4829,587.8333332999998,5.788558782000001,5.572679
4830,587.8541667000002,5.783904964,5.564605
4831,587.875,5.778473246,5.5549893
4832,587.8958332999998,5.772250136,5.544289
4833,587.9166667000002,5.765163200000001,5.533841
4834,587.9375,5.757127239,5.5242305
4835,587.9583332999998,5.748060206,5.5150924
4836,587.9791667000002,5.737910133,5.505974
4837,588.0,5.726665592000001,5.496804
4838,588.0208332999998,5.7143521370000006,5.487718
4839,588.0416667000002,5.70108984,5.478717
4840,588.0625,5.687116629,5.4690824
4841,588.0833332999998,5.67269579,5.4582067
4842,588.1041667000002,5.6580015370000005,5.446472
4843,588.125,5.643210009,5.434561
4844,588.1458332999998,5.6285431720000005,5.422719
4845,588.1666667000002,5.6142522810000015,5.410922
4846,588.1875,5.60057583,5.399186
4847,588.2083332999998,5.587726653,5.3876667
4848,588.2291667000002,5.57590765,5.376629
4849,588.25,5.565295323,5.3663535
4850,588.2708332999998,5.5560427510000014,5.3572617
4851,588.2916667000002,5.5482111289999985,5.3496675
4852,588.3125,5.541821887,5.343538
4853,588.3333332999998,5.5369797720000005,5.3388863
4854,588.3541667000002,5.533862283,5.333649
4855,588.375,5.532589858,5.331312
4856,588.3958332999998,5.5332264260000015,5.32983
4857,588.4166667000002,5.535685297000001,5.3273597
4858,588.4375,5.53973688,5.3246155
4859,588.4583332999998,5.544929177,5.3236856
4860,588.4791667000002,5.550670202999999,5.325689
4861,588.5,5.556310121,5.3302536
4862,588.5208332999998,5.56117898,5.3364596
4863,588.5416667000002,5.564588578,5.3433175
4864,588.5625,5.565910627,5.3492885
4865,588.5833332999998,5.564684829,5.352859
4866,588.6041667000002,5.5607022310000005,5.353159
4867,588.625,5.55394479,5.349966
4868,588.6458332999998,5.544458015,5.3438053
4869,588.6666667000002,5.532348224,5.3352165
4870,588.6875,5.517826638,5.323811
4871,588.7083332999998,5.50121511,5.3090076
4872,588.7291667000002,5.482936619,5.2904506
4873,588.75,5.463300892,5.2680244
4874,588.7708332999998,5.442350447999999,5.2422843
4875,588.7916667000002,5.420026797,5.2147207
4876,588.8125,5.396317817999999,5.186665
4877,588.8333332999998,5.371140344,5.15833
4878,588.8541667000002,5.344325523,5.1296496
4879,588.875,5.315872664,5.100567
4880,588.8958332999998,5.2861026010000005,5.0703573
4881,588.9166667000002,5.255408632,5.0385017
4882,588.9375,5.224058288999999,5.005408
4883,588.9583332999998,5.192153481,4.9718857
4884,588.9791667000002,5.159662761,4.938977
4885,589.0,5.126502019,4.907484
4886,589.0208332999998,5.092633343,4.8771
4887,589.0416667000002,5.058097301,4.84703
4888,589.0625,5.023059082,4.816781
4889,589.0833332999998,4.987848861,4.786322
4890,589.1041667000002,4.952922844,4.7559357
4891,589.125,4.918822448999999,4.7260528
4892,589.1458332999998,4.8861114830000005,4.6971073
4893,589.1666667000002,4.855294791,4.669532
4894,589.1875,4.826775421000001,4.6438727
4895,589.2083332999998,4.800939605,4.620552
4896,589.2291667000002,4.778200566000001,4.5996156
4897,589.25,4.758714929,4.581122
4898,589.2708332999998,4.742636724,4.565148
4899,589.2916667000002,4.729846643,4.5519247
4900,589.3125,4.72018265,4.5416117
4901,589.3333332999998,4.7134685460000005,4.5341907
4902,589.3541667000002,4.709523514,4.5293794
4903,589.375,4.708135949,4.5264754
4904,589.3958332999998,4.709018155,4.523436
4905,589.4166667000002,4.711877505,4.5187
4906,589.4375,4.71633699,4.513589
4907,589.4583332999998,4.722008217,4.5111437
4908,589.4791667000002,4.728505703,4.5132313
4909,589.5,4.735384268,4.519645
4910,589.5208332999998,4.742187511,4.528614
4911,589.5416667000002,4.74844689,4.5382624
4912,589.5625,4.753737031,4.5470676
4913,589.5833332999998,4.757738387,4.5541496
4914,589.6041667000002,4.760221149,4.5601654
4915,589.625,4.760956744,4.5661902
4916,589.6458332999998,4.759758466,4.571102
4917,589.6666667000002,4.756551821,4.5729938
4918,589.6875,4.751356445,4.5710754
4919,589.7083332999998,4.744244396,4.5654244
4920,589.7291667000002,4.735258368999999,4.5563574
4921,589.75,4.724404924,4.5439744
4922,589.7708332999998,4.711658129,4.5283227
4923,589.7916667000002,4.6970034080000005,4.509656
4924,589.8125,4.680413225,4.488835
4925,589.8333332999998,4.661941052,4.4667473
4926,589.8541667000002,4.641837502,4.4432817
4927,589.875,4.6203438310000005,4.417921
4928,589.8958332999998,4.597470004,4.393405
4929,589.9166667000002,4.573307592,4.3703804
4930,589.9375,4.548212591,4.3483424
4931,589.9583332999998,4.52252924,4.3261633
4932,589.9791667000002,4.496430257,4.3043437
4933,590.0,4.470175781,4.2841096
4934,590.0208332999998,4.444211465,4.265083
4935,590.0416667000002,4.418931083,4.2463474
4936,590.0625,4.394554238,4.2277226
4937,590.0833332999998,4.371208718,4.2094502
4938,590.1041667000002,4.348988322,4.191636
4939,590.125,4.327889206,4.1729302
4940,590.1458332999998,4.307826004,4.15457
4941,590.1666667000002,4.288720822,4.1372795
4942,590.1875,4.270569627,4.1210394
4943,590.2083332999998,4.25350497,4.105706
4944,590.2291667000002,4.237773443,4.09111
4945,590.25,4.223758385,4.0772505
4946,590.2708332999998,4.21179986,4.064366
4947,590.2916667000002,4.202230538,4.0528965
4948,590.3125,4.195218238,4.043516
4949,590.3333332999998,4.190941238,4.036443
4950,590.3541667000002,4.189548929,4.0320144
