,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
4858,588.4375,15016.70781,14969.068
4859,588.4583332999998,15013.55756,14963.725
4860,588.4791667000002,15010.3892,14960.583
4861,588.5,15007.32271,14958.538
4862,588.5208332999998,15004.63641,14956.594
4863,588.5416667000002,15002.2616,14954.493
4864,588.5625,15000.02954,14952.183
4865,588.5833332999998,14997.89878,14949.74
4866,588.6041667000002,14995.598580000002,14947.872
4867,588.625,14993.47811,14947.181
4868,588.6458332999998,14991.67819,14947.582
4869,588.6666667000002,14990.215569999997,14948.131
4870,588.6875,14989.32169,14948.172
4871,588.7083332999998,14988.37985,14947.721
4872,588.7291667000002,14987.10717,14946.303
4873,588.75,14985.941469999998,14943.815
4874,588.7708332999998,14985.11179,14941.164
4875,588.7916667000002,14984.56554,14939.167
4876,588.8125,14985.0616,14938.114
4877,588.8333332999998,14985.50594,14938.755
4878,588.8541667000002,14986.48866,14939.575
4879,588.875,14988.16325,14940.506
4880,588.8958332999998,14990.11156,14942.034
4881,588.9166667000002,14991.92971,14944.647
4882,588.9375,14993.90564,14947.955
4883,588.9583332999998,14996.30326,14951.602
4884,588.9791667000002,14999.19851,14955.653
4885,589.0,15002.16844,14960.388
4886,589.0208332999998,15004.859519999998,14965.352
4887,589.0416667000002,15008.69296,14969.965
4888,589.0625,15011.92758,14975.415
4889,589.0833332999998,15015.65991,14980.136
4890,589.1041667000002,15018.8526,14985.072
4891,589.125,15022.67509,14989.177
4892,589.1458332999998,15026.43535,14993.613
4893,589.1666667000002,15030.10766,14997.926
4894,589.1875,15033.72051,15002.19
4895,589.2083332999998,15037.52242,15006.448
4896,589.2291667000002,15040.7717,15010.861
4897,589.25,15043.74925,15014.651
4898,589.2708332999998,15046.3842,15017.935
4899,589.2916667000002,15048.81037,15020.53
4900,589.3125,15051.12073,15022.626
4901,589.3333332999998,15053.41064,15024.427
4902,589.3541667000002,15055.58624,15025.446
4903,589.375,15057.539169999998,15024.493
4904,589.3958332999998,15059.15875,15021.457
4905,589.4166667000002,15060.55724,15017.483
4906,589.4375,15061.63035,15014.313
4907,589.4583332999998,15062.48949,15012.92
4908,589.4791667000002,15063.53625,15013.026
4909,589.5,15064.577980000002,15013.956
4910,589.5208332999998,15065.71188,15014.749
4911,589.5416667000002,15066.77609,15015.23
4912,589.5625,15067.69204,15015.395
4913,589.5833332999998,15068.50879,15015.404
4914,589.6041667000002,15069.5565,15015.285
4915,589.625,15070.89418,15015.155
4916,589.6458332999998,15072.23378,15015.145
4917,589.6666667000002,15073.5271,15015.225
