,Time (d),PO4_meas_GA (gP/m3),PO4_pred_GA (gP/m3)
274,492.9375,1.547653321,1.55329
275,492.95833330000005,1.503082611,1.5092379
276,492.9791667,1.450226285,1.4563683
277,493.0,1.389773523,1.3953189
278,493.02083330000005,1.323443258,1.3276784
279,493.0416667,1.253515655,1.2552844
280,493.0625,1.182349505,1.1805882
281,493.08333330000005,1.111922622,1.1126268
282,493.1041667,1.043673219,1.0462451
283,493.125,0.9783301249999999,0.98261994
284,493.14583330000005,0.916114594,0.91992027
285,493.1666667,0.8571016290000001,0.85774297
286,493.1875,0.8013721509999998,0.79621714
287,493.20833330000005,0.7492127789999999,0.73632276
288,493.2291667,0.701147895,0.68079364
289,493.25,0.6578205460000001,0.6307406
290,493.27083330000005,0.619819467,0.58686554
291,493.2916667,0.587380517,0.5482538
292,493.3125,0.560497162,0.50945085
293,493.33333330000005,0.539097273,0.4697906
294,493.3541667,0.523398386,0.43121666
295,493.375,0.513766701,0.39616805
296,493.39583330000005,0.510731965,0.37264502
297,493.4166667,0.514331434,0.36352825
298,493.4375,0.523940242,0.36273515
299,493.45833330000005,0.537723857,0.36932367
300,493.4791667,0.552688602,0.3915624
301,493.5,0.565423247,0.42814872
302,493.52083330000005,0.57259767,0.4587372
303,493.5416667,0.571584411,0.47974548
304,493.5625,0.560652113,0.4878924
305,493.58333330000005,0.539619376,0.48038304
306,493.6041667,0.510226066,0.45874467
307,493.625,0.47542305,0.42679936
308,493.64583330000005,0.43860522400000007,0.38995486
309,493.6666667,0.40292025300000006,0.3508593
310,493.6875,0.37098397400000005,0.3083608
311,493.70833330000005,0.344984926,0.27074862
312,493.7291667,0.326549523,0.24671637
313,493.75,0.316756952,0.23440942
314,493.77083330000005,0.316848477,0.23188418
315,493.7916667,0.328452018,0.23763949
316,493.8125,0.35319311,0.24745706
317,493.83333330000005,0.391929558,0.26331082
318,493.8541667,0.444804409,0.2895775
319,493.875,0.512864718,0.33345717
320,493.89583330000005,0.599230583,0.39546677
321,493.9166667,0.707826046,0.47693253
322,493.9375,0.8404021490000001,0.5818402
323,493.95833330000005,0.9949907250000001,0.71080595
324,493.9791667,1.166346491,0.87048274
325,494.0,1.347174104,1.050795
326,494.02083330000005,1.530260875,1.2339505
327,494.0416667,1.71043316,1.4192238
328,494.0625,1.885434994,1.6041334
329,494.08333330000005,2.055695274,1.7858077
330,494.1041667,2.221783346,1.9603025
331,494.125,2.381128674,2.1274157
332,494.14583330000005,2.527664398,2.2857592
333,494.1666667,2.654793854,2.4291933
334,494.1875,2.758137488,2.5513003
335,494.20833330000005,2.835989113,2.6436877
336,494.2291667,2.887518791,2.7081852
337,494.25,2.91104876,2.7438693
338,494.27083330000005,2.903636944,2.7494001
339,494.2916667,2.861853709,2.7224731
340,494.3125,2.782499792,2.6580114
341,494.33333330000005,2.663897191,2.555139
342,494.3541667,2.507337118,2.4170928
343,494.375,2.318338148,2.2360008
344,494.39583330000005,2.106449146,2.0213084
345,494.4166667,1.8851257169999998,1.7912853
346,494.4375,1.6667383850000002,1.5702848
347,494.45833330000005,1.4581022,1.3655967
348,494.4791667,1.262936607,1.1695833
349,494.5,1.083968519,0.986176
350,494.52083330000005,0.921663884,0.82176894
351,494.5416667,0.7747355729999998,0.67409897
352,494.5625,0.642967219,0.53470445
353,494.58333330000005,0.527336983,0.4043018
354,494.6041667,0.428025499,0.2889086
355,494.625,0.344455463,0.19968511
356,494.64583330000005,0.27574096,0.13947764
357,494.6666667,0.220576679,0.1085446
358,494.6875,0.17736486899999998,0.09268442
359,494.70833330000005,0.144167031,0.083045825
360,494.7291667,0.11899597599999999,0.076134495
361,494.75,0.09994796599999999,0.07113671
362,494.77083330000005,0.08547296300000001,0.06642564
363,494.7916667,0.07440983899999999,0.06185788
364,494.8125,0.065939247,0.057956733
365,494.83333330000005,0.059438442,0.055070058
366,494.8541667,0.054435063,0.054136958
367,494.875,0.05055645599999999,0.054961357
368,494.89583330000005,0.047522234,0.05701205
369,494.9166667,0.045123939,0.05950006
370,494.9375,0.043219931,0.061030295
371,494.95833330000005,0.041734625,0.061429936
372,494.9791667,0.040632415,0.061978385
373,495.0,0.039901687000000005,0.06366203
374,495.02083330000005,0.039562263,0.06558408
375,495.0416667,0.039667933,0.06720192
376,495.0625,0.040316529,0.0675232
377,495.08333330000005,0.041673082,0.06652323
378,495.1041667,0.044004045,0.06503457
379,495.125,0.047718029,0.06364894
380,495.14583330000005,0.053378759000000005,0.06292895
381,495.1666667,0.061638821999999996,0.06520354
382,495.1875,0.07310257999999999,0.070239
383,495.20833330000005,0.088262804,0.07673393
384,495.2291667,0.10753368800000002,0.08407029
385,495.25,0.13130962599999998,0.09200909
386,495.27083330000005,0.160002388,0.10062823
387,495.2916667,0.19406864699999998,0.11004601
388,495.3125,0.23400754700000004,0.12114567
389,495.33333330000005,0.280229715,0.1373737
390,495.3541667,0.33266128,0.17274721
391,495.375,0.391404354,0.21000703
392,495.39583330000005,0.456699639,0.24627852
393,495.4166667,0.527703524,0.28879917
394,495.4375,0.601998233,0.35261017
395,495.45833330000005,0.677196248,0.43449825
396,495.4791667,0.7516342709999998,0.52323765
397,495.5,0.8240107130000001,0.60992575
398,495.52083330000005,0.893252245,0.690543
399,495.5416667,0.95842239,0.76431584
400,495.5625,1.018688135,0.8306668
401,495.58333330000005,1.073375433,0.8898275
402,495.6041667,1.121758067,0.944968
403,495.625,1.163672385,0.99682593
404,495.64583330000005,1.199398552,1.0450808
405,495.6666667,1.229791812,1.088755
406,495.6875,1.255842068,1.1235809
407,495.70833330000005,1.278379728,1.1488991
408,495.7291667,1.2981557259999998,1.1684004
409,495.75,1.315955556,1.1841441
410,495.77083330000005,1.332727363,1.1951635
411,495.7916667,1.349274883,1.2038264
412,495.8125,1.366128169,1.2161227
413,495.83333330000005,1.38362396,1.233635
414,495.8541667,1.401881193,1.2543414
415,495.875,1.420774789,1.2766991
416,495.89583330000005,1.439911536,1.301375
417,495.9166667,1.458831425,1.3279374
418,495.9375,1.47716942,1.3541659
419,495.95833330000005,1.494747019,1.3786292
420,495.9791667,1.511591502,1.3995949
421,496.0,1.5278183850000002,1.4173132
422,496.02083330000005,1.543590908,1.4348037
423,496.0416667,1.559193855,1.4534899
424,496.0625,1.574994383,1.4732574
425,496.08333330000005,1.591378155,1.4938086
426,496.1041667,1.608690753,1.5146754
427,496.125,1.627241961,1.5357351
428,496.14583330000005,1.64737038,1.5560226
429,496.1666667,1.669279694,1.5759174
