,Time (d),NH4_meas_AutoML (gN/m3),NH4_pred_AutoML (gN/m3)
3086,551.5208332999998,15263.9637,15146.345
3087,551.5416667000002,15265.08251,15147.033
3088,551.5625,15266.14746,15147.749
3089,551.5833332999998,15267.08066,15148.309
3090,551.6041667000002,15267.99609,15148.791
3091,551.625,15269.19409,15149.588
3092,551.6458332999998,15269.92837,15150.983
3093,551.6666667000002,15270.496469999998,15152.08
3094,551.6875,15271.30772,15153.177
3095,551.7083332999998,15272.13607,15154.795
3096,551.7291667000002,15272.67835,15156.003
3097,551.75,15272.81054,15155.462
3098,551.7708332999998,15272.68344,15153.323
3099,551.7916667000002,15272.22971,15150.677
3100,551.8125,15272.08409,15148.202
3101,551.8333332999998,15271.86538,15146.947
3102,551.8541667000002,15271.79726,15146.416
3103,551.875,15271.3994,15146.372
3104,551.8958332999998,15270.83744,15145.998
3105,551.9166667000002,15270.38852,15145.324
3106,551.9375,15268.6657,15144.728
3107,551.9583332999998,15267.46253,15143.065
3108,551.9791667000002,15266.37739,15142.072
3109,552.0,15265.16788,15141.293
3110,552.0208332999998,15263.708,15140.585
3111,552.0416667000002,15262.06147,15140.045
3112,552.0625,15260.36848,15139.738
3113,552.0833332999998,15258.14038,15139.637
3114,552.1041667000002,15255.8098,15139.165
3115,552.125,15253.30019,15138.705
3116,552.1458332999998,15250.02682,15138.044
3117,552.1666667000002,15246.34555,15136.411
3118,552.1875,15242.19364,15134.094
3119,552.2083332999998,15237.8735,15131.133
3120,552.2291667000002,15233.366930000002,15127.967
3121,552.25,15228.85246,15124.708
3122,552.2708332999998,15224.19453,15121.734
3123,552.2916667000002,15219.25521,15119.132
3124,552.3125,15214.04477,15116.117
3125,552.3333332999998,15208.36397,15111.408
3126,552.3541667000002,15202.38019,15103.173
3127,552.375,15195.934969999998,15090.632
3128,552.3958332999998,15189.50809,15075.73
3129,552.4166667000002,15183.08991,15061.675
3130,552.4375,15176.50268,15050.05
3131,552.4583332999998,15169.90855,15041.188
