,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
140,490.14583330000005,13543.60515,13641.645
141,490.1666667,13526.967669999998,13630.847
142,490.1875,13510.82457,13618.89
143,490.20833330000005,13493.93094,13606.723
144,490.2291667,13476.76228,13593.768
145,490.25,13458.75364,13580.909
146,490.27083330000005,13441.009069999998,13567.731
147,490.2916667,13423.13214,13554.733
148,490.3125,13405.13079,13540.488
149,490.33333330000005,13386.88266,13523.42
150,490.3541667,13368.47168,13498.869
151,490.375,13349.98796,13462.183
152,490.39583330000005,13331.30177,13417.886
153,490.4166667,13312.47005,13374.885
154,490.4375,13294.03545,13339.811
155,490.45833330000005,13275.55189,13315.419
156,490.4791667,13257.32845,13298.411
157,490.5,13239.10177,13284.396
158,490.52083330000005,13221.18312,13270.261
159,490.5416667,13203.4114,13255.514
160,490.5625,13185.79838,13240.3
161,490.58333330000005,13168.29149,13225.075
162,490.6041667,13151.00822,13210.683
163,490.625,13133.9665,13198.129
164,490.64583330000005,13117.11628,13186.572
165,490.6666667,13100.48268,13174.192
166,490.6875,13083.93924,13160.6
167,490.70833330000005,13067.66164,13146.35
168,490.7291667,13051.77381,13129.776
169,490.75,13036.0042,13107.844
170,490.77083330000005,13020.60437,13082.621
171,490.7916667,13005.78049,13060.432
172,490.8125,12991.77968,13044.59
173,490.83333330000005,12978.3898,13034.545
174,490.8541667,12965.33891,13027.008
175,490.875,12952.49556,13018.84
176,490.89583330000005,12940.19432,13009.046
177,490.9166667,12927.62635,12998.407
178,490.9375,12916.19289,12987.079
179,490.95833330000005,12905.31307,12976.668
180,490.9791667,12895.41384,12967.804
181,491.0,12885.12792,12962.1
182,491.02083330000005,12875.84549,12958.678
183,491.0416667,12866.90652,12957.913
184,491.0625,12857.67572,12958.368
185,491.08333330000005,12849.89548,12958.9795
186,491.1041667,12842.06065,12960.364
187,491.125,12834.52944,12960.808
188,491.14583330000005,12826.90707,12961.147
189,491.1666667,12819.89565,12962.034
190,491.1875,12812.09952,12963.507
191,491.20833330000005,12806.07973,12963.436
192,491.2291667,12799.87269,12964.169
193,491.25,12793.74312,12965.574
194,491.27083330000005,12787.84225,12967.685
195,491.2916667,12782.00064,12969.332
196,491.3125,12775.59823,12969.065
197,491.33333330000005,12770.05437,12965.301
198,491.3541667,12764.85666,12955.958
199,491.375,12759.93755,12937.383
200,491.39583330000005,12755.26963,12913.665
201,491.4166667,12751.48356,12892.798
202,491.4375,12747.56895,12879.953
203,491.45833330000005,12744.45554,12874.613
204,491.4791667,12741.23469,12875.152
205,491.5,12738.68622,12878.46
206,491.52083330000005,12736.07157,12883.168
207,491.5416667,12734.72811,12887.68
208,491.5625,12734.19608,12892.395
209,491.58333330000005,12732.49785,12896.73
210,491.6041667,12732.47254,12899.503
211,491.625,12733.43995,12903.25
212,491.64583330000005,12734.72455,12907.677
213,491.6666667,12735.6252,12912.079
214,491.6875,12736.97096,12915.427
215,491.70833330000005,12739.46777,12918.017
216,491.7291667,12742.9329,12919.32
217,491.75,12745.96268,12918.022
218,491.77083330000005,12749.08732,12916.594
219,491.7916667,12754.41852,12920.58
220,491.8125,12759.62186,12930.333
221,491.83333330000005,12764.84237,12940.095
222,491.8541667,12771.77058,12949.1
223,491.875,12779.10811,12959.718
224,491.89583330000005,12786.51881,12970.847
225,491.9166667,12794.22802,12981.454
226,491.9375,12802.66671,12992.187
227,491.95833330000005,12810.76301,13004.128
228,491.9791667,12820.27196,13016.547
229,492.0,12829.40235,13030.656
230,492.02083330000005,12841.52511,13045.027
231,492.0416667,12852.6394,13061.994
232,492.0625,12862.4025,13078.424
