,Time (d),Biogas_meas_Pearson (m3/d),Biogas_pred_Pearson (m3/d)
354,502.0,14330.74459,14224.86
355,502.0416667,14344.125569999998,14237.374
356,502.08333330000005,14357.34876,14250.215
357,502.125,14369.928919999997,14262.781
358,502.1666667,14381.568330000002,14274.62
359,502.20833330000005,14392.29463,14285.38
360,502.25,14402.13944,14295.265
361,502.2916667,14410.94439,14304.285
362,502.33333330000005,14419.02251,14312.197
363,502.375,14427.00235,14319.642
364,502.4166667,14434.14037,14327.178
365,502.45833330000005,14440.09293,14333.57
366,502.5,14446.16955,14338.689
367,502.5416667,14452.833530000002,14344.118
368,502.58333330000005,14459.45663,14350.267
369,502.625,14465.023319999998,14356.452
370,502.6666667,14469.61261,14361.485
371,502.70833330000005,14473.93488,14365.754
372,502.75,14478.23104,14369.893
373,502.7916667,14482.05256,14374.125
374,502.83333330000005,14486.11004,14377.996
375,502.875,14488.99729,14381.959
376,502.9166667,14490.87446,14384.268
377,502.95833330000005,14492.67553,14385.705
378,503.0,14494.2358,14387.034
379,503.0416667,14495.4432,14388.382
380,503.08333330000005,14495.43732,14389.185
381,503.125,14494.42805,14388.858
382,503.1666667,14492.50198,14387.616
383,503.20833330000005,14489.39819,14385.527
384,503.25,14484.86883,14382.272
385,503.2916667,14478.20069,14377.644
386,503.33333330000005,14470.93327,14371.007
387,503.375,14461.12631,14363.93
388,503.4166667,14451.45805,14354.615
389,503.45833330000005,14440.87119,14345.554
390,503.5,14429.09393,14335.397
391,503.5416667,14416.78292,14323.993
392,503.58333330000005,14404.331569999998,14312.203
393,503.625,14392.05014,14300.222
394,503.6666667,14379.76948,14288.626
395,503.70833330000005,14367.48297,14277.107
396,503.75,14354.917119999998,14265.521
397,503.7916667,14342.61386,14253.8
398,503.83333330000005,14330.690369999998,14242.312
399,503.875,14319.95433,14231.23
400,503.9166667,14310.71448,14221.382
401,503.95833330000005,14301.94074,14212.923
402,504.0,14293.25032,14204.74
403,504.0416667,14285.02995,14196.524
404,504.08333330000005,14277.65357,14188.75
405,504.125,14270.941519999997,14181.812
406,504.1666667,14265.53892,14175.587
407,504.20833330000005,14260.10583,14170.751
408,504.25,14253.705580000002,14165.717
409,504.2916667,14247.09289,14159.744
410,504.33333330000005,14240.11151,14153.524
411,504.375,14233.71143,14147.011
412,504.4166667,14228.2311,14141.151
413,504.45833330000005,14223.26331,14136.183
414,504.5,14219.09537,14131.5625
415,504.5416667,14216.05236,14127.661
416,504.58333330000005,14213.99936,14124.804
417,504.625,14212.53424,14122.831
418,504.6666667,14212.51409,14121.444
419,504.70833330000005,14213.25699,14121.596
420,504.75,14215.36564,14122.435
421,504.7916667,14219.77417,14124.76
422,504.83333330000005,14224.54694,14129.238
423,504.875,14231.75362,14133.968
424,504.9166667,14240.18989,14141.077
425,504.95833330000005,14251.01315,14149.213
426,505.0,14263.461130000003,14159.694
427,505.0416667,14276.87769,14171.766
428,505.08333330000005,14290.52304,14184.775
429,505.125,14304.81746,14197.994
430,505.1666667,14319.97179,14211.941
431,505.20833330000005,14334.7069,14226.741
432,505.25,14348.98778,14240.96
433,505.2916667,14363.29388,14254.656
434,505.33333330000005,14377.06394,14268.277
435,505.375,14388.985680000002,14281.0
436,505.4166667,14400.70851,14291.695
437,505.45833330000005,14413.57642,14302.381
438,505.5,14427.55755,14314.244
439,505.5416667,14440.642430000002,14327.235
440,505.58333330000005,14453.026269999997,14339.044
441,505.625,14466.34683,14350.545
442,505.6666667,14480.06972,14363.469
443,505.70833330000005,14493.20203,14376.883
444,505.75,14506.38827,14389.844
445,505.7916667,14519.66689,14402.812
446,505.83333330000005,14533.10373,14415.759
447,505.875,14545.562219999998,14428.51
448,505.9166667,14557.83292,14439.985
449,505.95833330000005,14570.46053,14451.295
450,506.0,14583.05995,14463.1
451,506.0416667,14595.22304,14474.886
452,506.08333330000005,14606.40622,14486.23
453,506.125,14616.80361,14496.442
454,506.1666667,14626.88941,14506.039
455,506.20833330000005,14635.77983,14515.357
456,506.25,14643.23498,14523.359
457,506.2916667,14649.53449,14529.992
458,506.33333330000005,14654.8336,14535.529
459,506.375,14658.6323,14540.215
460,506.4166667,14661.130619999998,14543.335
461,506.45833330000005,14663.39985,14545.415
462,506.5,14664.62782,14547.1875
463,506.5416667,14665.29274,14547.774
464,506.58333330000005,14665.26337,14548.03
465,506.625,14664.37157,14547.53
466,506.6666667,14663.18511,14546.389
467,506.70833330000005,14662.09968,14545.07
468,506.75,14661.95567,14544.129
469,506.7916667,14662.364630000002,14544.329
470,506.83333330000005,14663.45135,14544.945
471,506.875,14664.990630000002,14546.127
472,506.9166667,14668.36259,14547.68
473,506.95833330000005,14672.27421,14551.045
474,507.0,14677.67932,14554.761
475,507.0416667,14685.39867,14560.196
476,507.08333330000005,14693.64385,14567.927
477,507.125,14701.900119999998,14576.077
478,507.1666667,14710.10519,14583.996
479,507.20833330000005,14718.25579,14591.803
480,507.25,14726.73407,14599.556
481,507.2916667,14734.67361,14607.62
482,507.33333330000005,14742.82934,14615.231
483,507.375,14749.90994,14623.253
484,507.4166667,14755.891780000002,14629.803
485,507.45833330000005,14761.80409,14635.326
486,507.5,14767.66918,14640.644
487,507.5416667,14773.12808,14645.778
488,507.58333330000005,14778.68195,14650.523
489,507.625,14784.586269999998,14655.63
490,507.6666667,14790.143730000002,14661.1
491,507.70833330000005,14795.76698,14666.395
492,507.75,14802.31489,14671.869
493,507.7916667,14809.33875,14678.337
494,507.83333330000005,14816.42306,14685.268
495,507.875,14823.90876,14692.036
496,507.9166667,14832.64188,14699.212
497,507.95833330000005,14841.40242,14707.622
498,508.0,14850.32037,14715.914
499,508.0416667,14860.05578,14724.433
500,508.08333330000005,14869.36876,14733.937
501,508.125,14878.12144,14742.751
502,508.1666667,14886.02675,14751.041
503,508.20833330000005,14893.007269999998,14758.353
504,508.25,14899.57595,14764.777
505,508.2916667,14905.222130000002,14770.962
506,508.33333330000005,14909.33693,14776.046
507,508.375,14913.41209,14779.698
508,508.4166667,14917.42574,14783.683
509,508.45833330000005,14921.21571,14787.671
510,508.5,14924.871180000002,14791.217
511,508.5416667,14928.65016,14794.614
512,508.58333330000005,14932.55312,14798.09
513,508.625,14936.0242,14801.641
514,508.6666667,14939.52544,14804.709
515,508.70833330000005,14943.490580000003,14807.979
516,508.75,14948.13376,14811.873
517,508.7916667,14953.04319,14816.549
518,508.83333330000005,14959.21783,14821.453
519,508.875,14967.08883,14827.969
520,508.9166667,14974.99415,14836.034
521,508.95833330000005,14982.35165,14843.568
522,509.0,14991.06839,14850.445
523,509.0416667,15000.151719999998,14858.806
524,509.08333330000005,15010.318769999998,14867.524
525,509.125,15021.54052,14877.689
526,509.1666667,15031.87051,14888.956
527,509.20833330000005,15041.63838,14898.888
528,509.25,15050.85459,14908.229
529,509.2916667,15059.223280000002,14916.806
530,509.33333330000005,15067.33493,14924.563
531,509.375,15075.80155,14932.363
532,509.4166667,15084.93806,14940.9375
533,509.45833330000005,15093.0895,14950.335
534,509.5,15100.47167,14957.915
535,509.5416667,15108.09231,14964.717
536,509.58333330000005,15115.24731,14971.684
537,509.625,15122.25291,14978.022
538,509.6666667,15129.71866,14984.621
539,509.70833330000005,15136.82871,14991.937
540,509.75,15143.12724,14998.809
541,509.7916667,15149.518080000002,15004.986
542,509.83333330000005,15156.38827,15011.481
543,509.875,15163.26976,15018.5
544,509.9166667,15168.91593,15025.173
545,509.95833330000005,15174.56055,15030.194
546,510.0,15180.72301,15035.581
547,510.0416667,15186.16769,15041.41
548,510.08333330000005,15190.7133,15046.274
549,510.125,15194.605930000002,15050.265
550,510.1666667,15197.49864,15053.645
551,510.20833330000005,15198.42067,15056.046
552,510.25,15198.8679,15056.5625
553,510.2916667,15197.19485,15056.689
554,510.33333330000005,15194.18423,15054.674
555,510.375,15189.8135,15051.697
556,510.4166667,15183.819269999998,15047.209
557,510.45833330000005,15177.17657,15041.253
558,510.5,15169.15628,15034.382
559,510.5416667,15159.94604,15026.257
560,510.58333330000005,15150.30921,15016.992
561,510.625,15140.98504,15007.587
562,510.6666667,15131.27048,14998.644
