,Time (d),NH4_meas_Pearson (gN/m3),NH4_pred_Pearson (gN/m3)
1656,556.25,0.8895190059999999,0.91161036
1657,556.2916667000002,0.8756722020000002,0.9068444
1658,556.3333332999998,0.8560082540000001,0.8955175
1659,556.375,0.832637306,0.877289
1660,556.4166667000002,0.8071571229999999,0.8569317
1661,556.4583332999998,0.780969974,0.8416353
1662,556.5,0.755344256,0.8248929
1663,556.5416667000002,0.73427022,0.8062865
1664,556.5833332999998,0.724784063,0.78580457
1665,556.625,0.73243502,0.77610546
1666,556.6666667000002,0.755051416,0.77905136
1667,556.7083332999998,0.7840852890000001,0.79553115
1668,556.75,0.809388295,0.81974566
1669,556.7916667000002,0.823851144,0.8388847
1670,556.8333332999998,0.8255878740000001,0.84989417
1671,556.875,0.816075874,0.8529771
1672,556.9166667000002,0.7989664100000001,0.8495261
1673,556.9583332999998,0.780226347,0.8369512
1674,557.0,0.766823025,0.81909734
1675,557.0416667000002,0.7640391499999999,0.80541384
1676,557.0833332999998,0.771514343,0.8009131
1677,557.125,0.7837737699999999,0.8034043
1678,557.1666667000002,0.794599836,0.810735
1679,557.2083332999998,0.79919256,0.81932145
1680,557.25,0.795230085,0.82015747
1681,557.2916667000002,0.7831059370000001,0.8142731
1682,557.3333332999998,0.764909403,0.80349517
1683,557.375,0.7431512259999999,0.788131
1684,557.4166667000002,0.719604922,0.7698806
1685,557.4583332999998,0.69643702,0.75391036
1686,557.5,0.6759701459999999,0.7344021
1687,557.5416667000002,0.6599182570000001,0.71411717
1688,557.5833332999998,0.649794432,0.69761455
1689,557.625,0.646060298,0.688288
1690,557.6666667000002,0.647173181,0.68405885
1691,557.7083332999998,0.650855153,0.6830586
1692,557.75,0.6554511,0.6849993
1693,557.7916667000002,0.659868303,0.6880772
1694,557.8333332999998,0.6632015170000001,0.69398594
1695,557.875,0.6648043260000001,0.70095557
1696,557.9166667000002,0.665133184,0.70645773
1697,557.9583332999998,0.66632009,0.70853984
1698,558.0,0.6713297559999999,0.70843637
1699,558.0416667000002,0.68188287,0.71213573
1700,558.0833332999998,0.697109045,0.71979076
1701,558.125,0.713423425,0.7356749
1702,558.1666667000002,0.726940622,0.7479202
1703,558.2083332999998,0.7361050890000002,0.75830626
1704,558.25,0.7410805299999998,0.7631152
1705,558.2916667000002,0.7419707720000002,0.7636969
1706,558.3333332999998,0.73823581,0.7628281
1707,558.375,0.729247704,0.760987
1708,558.4166667000002,0.7151785740000001,0.7545258
1709,558.4583332999998,0.69784463,0.7442295
1710,558.5,0.68007058,0.72910124
1711,558.5416667000002,0.664547086,0.71353495
1712,558.5833332999998,0.653252791,0.6989212
1713,558.625,0.646867266,0.6864672
1714,558.6666667000002,0.644852821,0.6777371
1715,558.7083332999998,0.645853907,0.67394143
1716,558.75,0.647950456,0.672562
1717,558.7916667000002,0.649540522,0.6737774
1718,558.8333332999998,0.6496001029999999,0.6768593
1719,558.875,0.647906742,0.67721725
1720,558.9166667000002,0.64513935,0.67764425
1721,558.9583332999998,0.6425791470000001,0.67554486
1722,559.0,0.6414113889999999,0.6739165
1723,559.0416667000002,0.642249021,0.6733847
1724,559.0833332999998,0.644948427,0.67416155
1725,559.125,0.648825643,0.6735453
1726,559.1666667000002,0.65314676,0.6746621
1727,559.2083332999998,0.656906976,0.67655176
1728,559.25,0.6589053420000001,0.67812014
1729,559.2916667000002,0.658315045,0.6769241
1730,559.3333332999998,0.655062515,0.6734264
1731,559.375,0.6493787529999999,0.66919076
1732,559.4166667000002,0.641206944,0.6687862
1733,559.4583332999998,0.630916157,0.6704104
1734,559.5,0.619482093,0.66278
1735,559.5416667000002,0.608763555,0.65349364
1736,559.5833332999998,0.601177438,0.64485383
1737,559.625,0.597900514,0.6402335
1738,559.6666667000002,0.598598668,0.64004004
1739,559.7083332999998,0.601978103,0.6406478
1740,559.75,0.606926299,0.64248675
1741,559.7916667000002,0.612736197,0.6449873
1742,559.8333332999998,0.618441849,0.65263253
1743,559.875,0.622380175,0.66201013
1744,559.9166667000002,0.6239558070000001,0.66359097
1745,559.9583332999998,0.624574141,0.6633478
1746,560.0,0.625939783,0.6617659
1747,560.0416667000002,0.628223647,0.6622065
1748,560.0833332999998,0.630416849,0.6622068
1749,560.125,0.631624399,0.66274786
1750,560.1666667000002,0.631502105,0.6623174
1751,560.2083332999998,0.630036526,0.66007376
1752,560.25,0.6273457060000001,0.6574539
1753,560.2916667000002,0.623530713,0.6529515
1754,560.3333332999998,0.618567435,0.6495068
1755,560.375,0.612471188,0.6474706
1756,560.4166667000002,0.605206011,0.64383113
1757,560.4583332999998,0.597105245,0.6419961
1758,560.5,0.58905688,0.6364731
1759,560.5416667000002,0.582193568,0.6287917
1760,560.5833332999998,0.5778754220000001,0.621427
1761,560.625,0.576870798,0.61563754
1762,560.6666667000002,0.579058034,0.6158059
1763,560.7083332999998,0.583336313,0.61764926
1764,560.75,0.58850528,0.6221965
1765,560.7916667000002,0.593863936,0.6293325
1766,560.8333332999998,0.598993643,0.6379272
1767,560.875,0.603842925,0.64503926
1768,560.9166667000002,0.609315746,0.6499479
