,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
237,494.65625,16523.44614,16593.549
238,494.6875,16555.191069999993,16638.88
239,494.71875,16578.525019999994,16612.725
240,494.75,16594.54569,16489.518
241,494.78125,16606.1571,16336.397
242,494.8125,16614.97959,16244.28
243,494.84375,16615.30519,16188.558
244,494.875,16613.74397,16133.587
245,494.90625,16604.37123,16072.375
246,494.9375,16591.83036,16022.694
247,494.96875,16576.20315,16017.217
248,495.0,16554.47534,16014.638
249,495.03125,16529.07833,15986.373
250,495.0625,16499.41847,15966.831
251,495.09375,16466.43298,15990.558
252,495.125,16432.01946,16041.711
253,495.15625,16391.69119,16087.302
254,495.1875,16346.72949,16101.09
255,495.21875,16300.693100000002,16081.105
256,495.25,16250.390220000001,16049.722
257,495.28125,16198.33371,16018.7295
258,495.3125,16143.84118,15979.153
259,495.34375,16088.73666,15904.977
260,495.375,16030.316919999997,15729.501
261,495.40625,15971.89691,15484.923
262,495.4375,15913.06329,15334.352
263,495.46875,15851.34682,15257.6045
264,495.5,15789.3017,15206.924
265,495.53125,15730.51723,15168.931
266,495.5625,15670.484519999998,15143.259
267,495.59375,15608.119819999998,15140.348
268,495.625,15547.02126,15141.094
269,495.65625,15487.09867,15111.354
270,495.6875,15427.35339,15055.129
271,495.71875,15368.93635,15007.68
272,495.75,15311.84581,14959.353
273,495.78125,15254.64153,14893.362
274,495.8125,15199.32835,14855.474
275,495.84375,15144.74415,14833.142
276,495.875,15091.1354,14805.64
277,495.90625,15038.19959,14773.398
278,495.9375,14987.40851,14730.701
279,495.96875,14936.0939,14690.368
280,496.0,14887.48929,14669.652
281,496.03125,14840.44696,14670.573
282,496.0625,14792.603969999998,14674.267
283,496.09375,14746.316519999997,14672.059
284,496.125,14699.87961,14667.874
285,496.15625,14655.11829,14669.482
286,496.1875,14611.30289,14685.8
287,496.21875,14568.25829,14707.122
288,496.25,14524.80379,14716.426
289,496.28125,14482.31755,14709.251
290,496.3125,14439.81924,14702.892
291,496.34375,14399.079780000002,14702.957
292,496.375,14358.34487,14681.84
293,496.40625,14319.31426,14625.892
294,496.4375,14281.05505,14585.563
295,496.46875,14243.46577,14576.64
296,496.5,14206.6762,14579.865
297,496.53125,14171.11422,14575.711
298,496.5625,14136.50118,14569.315
299,496.59375,14102.79429,14561.775
300,496.625,14070.37772,14555.012
301,496.65625,14038.741869999998,14554.212
302,496.6875,14007.47203,14554.792
303,496.71875,13976.901919999998,14545.273
304,496.75,13947.7665,14527.625
305,496.78125,13919.08591,14513.411
306,496.8125,13891.81714,14504.479
307,496.84375,13865.30923,14500.398
308,496.875,13839.5455,14497.698
309,496.90625,13814.878030000002,14493.232
310,496.9375,13791.27013,14492.173
311,496.96875,13768.53245,14492.759
312,497.0,13746.49501,14491.732
313,497.03125,13725.41209,14490.595
314,497.0625,13704.82728,14492.65
315,497.09375,13684.83335,14495.682
316,497.125,13665.13519,14497.695
317,497.15625,13645.877169999998,14500.375
318,497.1875,13626.81936,14505.297
319,497.21875,13607.9029,14511.055
320,497.25,13589.519519999998,14519.778
321,497.28125,13571.050769999998,14534.245
322,497.3125,13552.52698,14544.938
323,497.34375,13534.24929,14549.333
324,497.375,13516.135430000002,14535.774
325,497.40625,13498.96617,14498.535
326,497.4375,13482.76755,14473.545
327,497.46875,13466.92594,14467.446
328,497.5,13451.8956,14469.305
329,497.53125,13437.67394,14472.008
330,497.5625,13424.73889,14476.078
331,497.59375,13412.81744,14479.805
332,497.625,13401.3357,14481.828
333,497.65625,13390.97872,14483.286
334,497.6875,13381.19732,14484.415
335,497.71875,13372.00666,14484.753
336,497.75,13363.71907,14478.246
337,497.78125,13356.18964,14462.54
338,497.8125,13350.11871,14451.047
339,497.84375,13344.59074,14445.772
340,497.875,13339.07529,14440.911
341,497.90625,13334.24601,14434.109
342,497.9375,13331.79029,14428.547
343,497.96875,13329.02175,14425.583
344,498.0,13326.99751,14425.986
345,498.03125,13325.4872,14430.24
346,498.0625,13324.82105,14435.161
347,498.09375,13324.14707,14439.76
348,498.125,13323.45264,14444.257
349,498.15625,13322.76501,14447.883
350,498.1875,13322.88792,14450.23
351,498.21875,13322.58982,14452.354
352,498.25,13322.31451,14456.278
353,498.28125,13322.10789,14462.448
354,498.3125,13321.12328,14466.732
355,498.34375,13320.14728,14465.13
356,498.375,13319.61318,14454.063
357,498.40625,13319.32779,14435.7295
358,498.4375,13319.00802,14422.649
359,498.46875,13318.89362,14418.374
360,498.5,13319.3948,14419.888
361,498.53125,13320.21253,14423.221
362,498.5625,13320.9895,14426.058
363,498.59375,13323.27702,14427.039
364,498.625,13325.00441,14427.033
