,Time (d),NH4_meas_Pearson_NPC (gN/m3),NH4_pred_Pearson_NPC (gN/m3)
242,494.8125,0.97440885,0.9579594
243,494.84375,0.8891641819999999,0.91477805
244,494.875,0.815744054,0.8677431
245,494.90625,0.76190924,0.8225179
246,494.9375,0.727751586,0.7840495
247,494.96875,0.707478099,0.7563637
248,495.0,0.693505543,0.7221807
249,495.03125,0.6805461140000001,0.68353724
250,495.0625,0.6663761020000001,0.67262554
251,495.09375,0.650106681,0.6621279
252,495.125,0.631759954,0.6509318
253,495.15625,0.6127028760000001,0.63938046
254,495.1875,0.59513157,0.62811047
255,495.21875,0.580561228,0.61675966
256,495.25,0.5691823579999999,0.60623556
257,495.28125,0.560359147,0.59686434
258,495.3125,0.553192141,0.58900625
259,495.34375,0.546966646,0.5838711
260,495.375,0.541263389,0.58077925
261,495.40625,0.5358416220000001,0.5768452
262,495.4375,0.5307418660000001,0.57225984
263,495.46875,0.526131155,0.5674109
264,495.5,0.522378216,0.5652935
265,495.53125,0.520208773,0.5651402
266,495.5625,0.52024591,0.56637985
267,495.59375,0.522550379,0.56904316
268,495.625,0.526610559,0.57187366
269,495.65625,0.5317187760000001,0.57579434
270,495.6875,0.53747305,0.5816739
271,495.71875,0.5437146389999999,0.58950883
272,495.75,0.550094575,0.59579605
273,495.78125,0.55617615,0.60209763
274,495.8125,0.56147327,0.61187345
275,495.84375,0.565672627,0.6223147
276,495.875,0.568904434,0.63254946
277,495.90625,0.571668815,0.64135844
278,495.9375,0.5745857870000001,0.64863396
279,495.96875,0.578071989,0.65526366
280,496.0,0.582226951,0.6606084
281,496.03125,0.586718834,0.66273844
282,496.0625,0.590974781,0.66256446
283,496.09375,0.594589822,0.66203994
284,496.125,0.597513172,0.6615815
285,496.15625,0.59991117,0.6614428
286,496.1875,0.601888917,0.66166097
287,496.21875,0.603370145,0.66071075
288,496.25,0.604245613,0.6595377
289,496.28125,0.604552317,0.6595566
290,496.3125,0.604455588,0.65974337
291,496.34375,0.604104078,0.6590285
292,496.375,0.6035002970000001,0.6530702
293,496.40625,0.60249409,0.63935924
294,496.4375,0.600940079,0.627033
295,496.46875,0.598833214,0.6219901
296,496.5,0.596337807,0.6218068
297,496.53125,0.593836248,0.6237116
298,496.5625,0.5919769420000001,0.6272665
299,496.59375,0.591344985,0.6295884
300,496.625,0.592149632,0.63267946
301,496.65625,0.594270192,0.63798445
302,496.6875,0.597285348,0.64438
303,496.71875,0.60067295,0.65021265
304,496.75,0.6041126520000001,0.65527415
305,496.78125,0.607407433,0.65825343
306,496.8125,0.61036592,0.6625399
307,496.84375,0.6128000379999999,0.670758
308,496.875,0.61461821,0.6792841
309,496.90625,0.616022628,0.68674624
310,496.9375,0.617400816,0.69447917
311,496.96875,0.619103779,0.7005179
312,497.0,0.621282499,0.70499057
313,497.03125,0.6239382370000001,0.70807683
314,497.0625,0.626968972,0.71000034
315,497.09375,0.630136658,0.71099305
316,497.125,0.633139579,0.7117515
317,497.15625,0.63570658,0.7121336
318,497.1875,0.637631598,0.711993
319,497.21875,0.638773054,0.71124405
320,497.25,0.639027009,0.711459
321,497.28125,0.638313514,0.7119175
322,497.3125,0.636635437,0.710622
323,497.34375,0.634056531,0.7085272
324,497.375,0.6307688570000001,0.7009117
325,497.40625,0.626934647,0.68485945
326,497.4375,0.622707094,0.669906
327,497.46875,0.618282572,0.66202426
328,497.5,0.613837527,0.661818
329,497.53125,0.609800894,0.665714
330,497.5625,0.606934588,0.6701182
331,497.59375,0.605927921,0.6726928
