,Time (d),COD_meas_GA (gCOD/m3),COD_pred_GA (gCOD/m3)
514,519.4375,55.908856918999994,56.50804
515,519.5,56.00674574199999,56.906387
516,519.5625,55.764116939,57.012623
517,519.625,55.782242319000005,56.885662
518,519.6875,55.85234258000001,56.964916
519,519.75,55.84548437200001,57.057156
520,519.8125,55.777785398999995,57.096317
521,519.875,56.031062701,57.06187
522,519.9375,55.97823805800001,57.308216
523,520.0,55.85367172800001,57.27561
524,520.0625,55.85962255199999,57.175438
525,520.125,55.648839108999994,57.147465
526,520.1875,55.390932776000014,56.91527
527,520.25,55.109964898,56.624207
528,520.3125,55.020613993999994,56.293644
529,520.375,55.1279076,56.14412
530,520.4375,55.59540503699999,56.23538
531,520.5,55.86741843,56.65981
532,520.5625,55.71562355700001,56.92724
533,520.625,55.648284355,56.870747
534,520.6875,55.57654327899999,56.857185
535,520.75,55.52737055399999,56.821842
536,520.8125,55.52680459399999,56.806004
537,520.875,55.65257619700001,56.83245
538,520.9375,55.64010870800001,56.965584
539,521.0,55.64916144100001,56.977077
540,521.0625,55.683238898,56.98843
541,521.125,55.59568313999999,56.99398
542,521.1875,55.385338658,56.86199
543,521.25,55.302907247,56.595093
544,521.3125,55.193044324,56.419926
545,521.375,55.174397162,56.229305
546,521.4375,55.188621029,56.167587
547,521.5,55.08753887,56.1637
548,521.5625,55.026703671000014,56.124496
549,521.625,54.86232559800001,56.16599
550,521.6875,54.783813116,56.08398
551,521.75,54.92532081000002,56.057365
552,521.8125,55.054629442999996,56.244644
553,521.875,55.14293794899999,56.383408
554,521.9375,55.163397329999995,56.485493
555,522.0,55.126928855,56.520935
556,522.0625,55.017507970000004,56.490185
557,522.125,54.852771696000005,56.363487
558,522.1875,54.78105779800002,56.167404
559,522.25,54.883094841,56.04919
560,522.3125,54.770206898999994,56.05426
561,522.375,55.086772916,55.871525
562,522.4375,55.484405375,56.122463
563,522.5,55.46606232600001,56.412987
564,522.5625,55.372588463,56.43704
565,522.625,55.308474063999995,56.44633
566,522.6875,55.38017338,56.451756
567,522.75,55.476039822999994,56.568996
568,522.8125,55.543127176,56.712883
569,522.875,55.65568224199999,56.807266
570,522.9375,55.76610848800002,56.91671
571,523.0,55.62611982599999,57.02796
572,523.0625,55.541086746000005,56.89765
573,523.125,55.433292605999995,56.802494
574,523.1875,55.18427140300001,56.65772
575,523.25,54.95532849399999,56.370945
576,523.3125,54.70740172100001,56.09286
577,523.375,54.72964870899999,55.800243
578,523.4375,55.142828482000006,55.803978
579,523.5,55.184317843,56.164074
580,523.5625,54.94605636600001,56.237118
581,523.625,54.71256279,56.1183
582,523.6875,54.50953864100001,55.969215
583,523.75,54.23820792399999,55.818573
584,523.8125,54.134636418,55.65772
585,523.875,54.32392228899999,55.62686
586,523.9375,54.38801089899999,55.835163
587,524.0,54.388034381,55.91921
588,524.0625,54.234778443,55.942375
589,524.125,54.028053207000006,55.792706
590,524.1875,53.836924838,55.567924
591,524.25,53.629754897999995,55.365578
592,524.3125,53.46365084600001,55.137352
593,524.375,53.63237039,54.95397
594,524.4375,53.95302931899999,55.156113
595,524.5,54.01906338500001,55.443157
596,524.5625,53.86020657499999,55.503582
597,524.625,53.77399297800001,55.42359
598,524.6875,53.778931938,55.406384
599,524.75,53.746225773000006,55.454304
600,524.8125,53.814917348,55.50608
601,524.875,53.94650944199998,55.590538
602,524.9375,54.074252651,55.741962
603,525.0,54.074565012,55.896408
604,525.0625,54.034544868999994,55.895855
605,525.125,54.075366318,55.84097
606,525.1875,53.977693879,55.840664
607,525.25,53.87274313500001,55.703163
608,525.3125,53.839717801,55.541424
609,525.375,54.08261000300001,55.448097
610,525.4375,54.650326177000004,55.675255
611,525.5,54.866584573000004,56.140827
612,525.5625,54.909110215999995,56.321224
613,525.625,54.887624395,56.424725
614,525.6875,54.94391803800002,56.440113
615,525.75,54.969785675000004,56.51578
616,525.8125,55.30009269999999,56.588943
617,525.875,55.451034874,56.907513
618,525.9375,55.414180775,57.032745
619,526.0,55.39413113199999,57.000454
620,526.0625,55.40032036300002,56.990154
621,526.125,55.39685799199999,56.971752
622,526.1875,55.261514414,56.93133
623,526.25,55.26098295100001,56.754498
624,526.3125,55.295524376,56.680733
625,526.375,55.623821725000006,56.638683
626,526.4375,56.020824782,56.888462
627,526.5,56.096425477,57.181297
