,Time (d),NH4_meas (gNm3),NH4_pred (gN/m3)
316,507.0625,0.65476698,0.6272617
317,507.125,0.6762836309999999,0.6446561
318,507.1875,0.695590987,0.6582584
319,507.25,0.712621174,0.6672987
320,507.3125,0.722480612,0.6750774
321,507.375,0.7185798449999999,0.6821173
322,507.4375,0.70101353,0.68031955
323,507.5,0.677794793,0.6688808
324,507.5625,0.658032352,0.6511401
325,507.625,0.646805235,0.63541275
326,507.6875,0.6452890689999999,0.6278082
327,507.75,0.650677982,0.62800944
328,507.8125,0.6602971910000001,0.63451636
329,507.875,0.672129509,0.6431269
330,507.9375,0.68643481,0.6498909
331,508.0,0.70259209,0.6580572
332,508.0625,0.717293142,0.6659315
333,508.125,0.726502735,0.67572117
334,508.1875,0.728478691,0.67958784
335,508.25,0.7248181709999999,0.6770397
336,508.3125,0.71668132,0.67332774
337,508.375,0.7042596440000001,0.6649536
338,508.4375,0.687913305,0.65842575
339,508.5,0.669481412,0.6523348
340,508.5625,0.652914856,0.6426095
341,508.625,0.644754078,0.63293713
342,508.6875,0.648309027,0.6260964
343,508.75,0.661149888,0.6277049
344,508.8125,0.676374757,0.637743
345,508.875,0.688130302,0.65077674
346,508.9375,0.6950144859999999,0.6669494
347,509.0,0.7025918440000001,0.6710944
348,509.0625,0.7186310099999998,0.6748005
349,509.125,0.7399154329999998,0.6854092
350,509.1875,0.7554002679999998,0.70561284
351,509.25,0.761214188,0.71576023
352,509.3125,0.761732325,0.7163471
353,509.375,0.7572205769999999,0.71330786
354,509.4375,0.742688855,0.7160031
355,509.5,0.718484412,0.716852
356,509.5625,0.697241852,0.7008958
357,509.625,0.6925668229999999,0.6837061
358,509.6875,0.7031849,0.6772747
359,509.75,0.717255915,0.6850401
360,509.8125,0.724584542,0.69439334
361,509.875,0.722809637,0.70430434
362,509.9375,0.715405761,0.70742345
363,510.0,0.711049755,0.699201
364,510.0625,0.7138412559999999,0.6959569
365,510.125,0.71837736,0.69223374
366,510.1875,0.719673612,0.6888301
367,510.25,0.713923587,0.683523
368,510.3125,0.699750157,0.67545676
369,510.375,0.6789372490000001,0.66315395
370,510.4375,0.65530482,0.64861983
371,510.5,0.6328743689999999,0.63187605
372,510.5625,0.614521749,0.6136815
373,510.625,0.601671709,0.5987933
374,510.6875,0.594201132,0.5907323
375,510.75,0.590743709,0.58824855
376,510.8125,0.590055354,0.5891216
377,510.875,0.591937148,0.59202194
378,510.9375,0.596144635,0.60258
379,511.0,0.603413345,0.6023127
380,511.0625,0.61575208,0.6044916
381,511.125,0.62782349,0.612044
382,511.1875,0.633260104,0.6183383
383,511.25,0.631670144,0.6201098
384,511.3125,0.625043888,0.61759037
385,511.375,0.614875292,0.613872
386,511.4375,0.601932939,0.611375
387,511.5,0.588473837,0.61346734
